fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2018,Director of Finance - Fringe Benefits City of Philadelphia - 26 - City of Philadelphia,Government Operations,268236,0,0,0,0,0,0,0,0,0,0,0,0,0,268236
2018,District Attorney,Courts & the Justice System,0,0,0,0,0,37810487,16243469,0,0,0,0,0,0,0,54053956
2018,Finance,Government Operations,75000,4146000,0,20000000,0,65754198,200001455,0,0,0,0,0,0,0,289976653
2018,Finance - Community College Subsidy,Government Operations,0,0,0,0,0,30409207,0,0,0,0,0,0,0,0,30409207
2018,Finance - Employee Benefits,Government Operations,0,0,0,0,0,1307799345,0,0,0,0,0,0,0,0,1307799345
2018,Finance - Hero Scholarship Awards,Government Operations,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,25000
2018,Finance - Indemnities,Government Operations,0,0,0,0,0,44920000,0,0,0,0,0,0,0,0,44920000
2018,Finance - Refunds,Government Operations,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,250000
2018,Finance - School District Contribution,Government Operations,0,0,0,0,0,104348281,0,0,0,0,0,0,0,0,104348281
2018,Finance - Witness Fees,Government Operations,0,0,0,0,0,171518,0,0,0,0,0,0,0,0,171518
2018,Finance-Employee Benefits,Government Operations,0,62129873,0,4275040,0,0,0,0,0,0,0,1000000,122132283,0,189537196
2018,Finance-Indemnities,Government Operations,0,2512000,0,0,0,0,0,0,0,0,0,0,6500000,0,9012000
2018,Fire,Emergency Services,0,0,0,0,0,247546034,20024062,0,0,0,0,0,0,0,267570096
2018,Fire Department City of Philadelphia - 22 - City of Philadelphia,Government Operations,0,7802474,0,0,0,0,0,0,0,0,0,0,0,0,7802474
2018,First Judicial District,Courts & the Justice System,0,0,0,0,0,111442508,26220190,0,0,0,0,0,0,0,137662698
2018,First Judicial District of Pennsylvania City of Philadelphia - 21 - City of Philadelphia,Government Operations,0,0,0,0,0,0,23803394,0,0,0,0,0,0,0,23803394
2018,Fleet Management,Government Operations,0,0,0,0,0,49576866,0,0,0,0,0,0,0,0,49576866
2018,Fleet Management - Vehicle Lease/Purch.,Government Operations,0,0,0,0,0,13965000,0,0,0,0,0,0,0,0,13965000
2018,Free Library,Libraries,0,0,0,0,0,40937562,1186886,0,0,0,0,0,0,0,42124448
2018,Historical Commission,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Human Relations Commission,Government Operations,0,0,0,0,0,2204279,0,0,0,0,0,0,0,0,2204279
2018,Human Services,Youth Services,0,0,0,0,0,109035530,590034300,0,0,0,0,0,0,0,699069830
2018,L&I - Board of Building Standards,Government Operations,0,0,0,0,0,75419,0,0,0,0,0,0,0,0,75419
2018,L&I - Board of L&I Review,Government Operations,0,0,0,0,0,171785,0,0,0,0,0,0,0,0,171785
2018,L&I - Zoning Board of Adjustments,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Labor,Government Operations,0,0,0,0,0,1617396,0,0,0,0,0,0,0,0,1617396
2018,Law,Government Operations,0,1563803,0,195573,0,15743191,0,0,0,0,0,0,3240830,0,20743397
2018,Licenses & Inspection,Government Operations,0,0,0,514818,0,35755266,0,0,0,0,0,0,0,0,36270084
2018,Managing Director,Government Operations,0,0,0,0,0,40285836,46430064,0,0,0,0,0,138550,0,86854450
2018,Managing Director - Legal Services,Government Operations,0,0,0,0,0,48414381,0,0,0,0,0,0,0,0,48414381
2018,Managing Director - Office of Fleet Management,Government Operations,0,3488759,0,0,0,0,0,0,0,0,0,0,8825836,0,12314595
2018,Managing Director - Office of Fleet Management - Vehicle Purchase,Government Operations,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,4800000
2018,Mayor,Government Operations,0,0,0,0,0,0,985935,0,0,0,0,0,0,0,985935
2018,Mayor - Office of Arts and Culture and the Creative Economy,Government Operations,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,25000
2018,Mayor's Office,Government Operations,0,0,0,0,0,4634141,0,0,0,0,0,0,0,0,4634141
2018,Mayor's Office - Scholarships,Government Operations,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,200000
2018,Mural Arts Program,Arts & Culture,0,0,0,0,0,1924602,0,0,0,0,0,0,0,0,1924602
2018,Office of Arts & Culture & the Creative Economy,Government Operations,0,0,0,0,0,4179966,0,0,0,0,0,0,0,0,4179966
2018,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,0,0,0,0,0,14218574,271017674,1298400000,0,0,0,0,0,0,1583636248
2018,Office of Community Empowerment and Opportunity,Immigration Services,0,0,0,0,0,1675000,19677519,0,0,0,0,0,0,0,21352519
2018,Office of Community Schools & Pre - K,Government Operations,0,0,0,0,0,42551677,0,0,0,0,0,0,0,0,42551677
2018,Office of Homeless Services,Housing & Homeless Services,0,0,0,0,0,48247957,0,0,0,0,0,0,0,0,48247957
2018,Office of Housing and Community Development,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Office of Human Resources,Government Operations,0,0,0,0,0,6011608,0,0,0,0,0,0,0,0,6011608
2018,Office of Innovation and Technology,Government Operations,0,2083089,0,0,0,83737508,55264101,0,0,0,0,0,29000705,0,170085403
2018,Office of Property Assessment,Government Operations,0,0,0,0,0,13923826,0,0,0,0,0,0,0,0,13923826
2018,Office of Sustainability,Government Operations,0,93873,0,0,0,969138,50000,0,0,0,0,0,93874,0,1206885
2018,Office of Transportation & Utilities,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Office of the Chief Administrative Officer,Government Operations,0,0,0,0,0,5753587,0,0,0,0,0,0,0,0,5753587
2018,Office of the Inspector General,Government Operations,0,0,0,0,0,1648011,0,0,0,0,0,0,0,0,1648011
2018,Parks and Recreation,Parks & Recreation,0,0,0,0,0,61733041,12531554,0,0,0,0,0,0,0,74264595
2018,Planning and Development,Housing & Homeless Services,0,0,0,58105257,0,8195882,88576222,0,0,27500000,0,0,0,0,182377361
2018,Police,Police,0,15892170,0,0,0,652106097,20583079,0,0,0,0,0,0,0,688581346
2018,Prisons,Courts & the Justice System,0,0,0,0,0,258958360,0,0,0,0,0,0,0,0,258958360
2018,Procurement,Government Operations,0,0,0,0,0,4932053,0,0,0,0,0,0,89261,0,5021314
2018,Public Health,Public Health Centers,161138764,0,0,0,0,136362067,114458760,0,0,0,0,0,0,0,411959591
2018,Public Property,Government Operations,0,0,0,0,0,65448723,0,0,0,0,0,0,4256817,0,69705540
2018,Public Property - SEPTA Subsidy,Government Operations,0,0,0,0,0,82749000,0,0,0,0,0,0,0,0,82749000
2018,Public Property - Space Rentals,Government Operations,0,0,0,0,0,20950268,0,0,0,0,0,0,0,0,20950268
2018,Public Property - Utilities,Government Operations,0,0,0,0,0,24655024,0,0,0,0,0,0,0,0,24655024
2018,Public Property-Utilities,Government Operations,0,26900000,0,0,0,0,0,0,0,0,0,0,0,0,26900000
2018,Records,Government Operations,0,0,0,0,0,4878928,0,0,0,0,0,0,0,0,4878928
2018,Register of Wills,Government Operations,0,0,0,0,0,4244282,200000,0,0,0,0,0,0,0,4444282
2018,Revenue,Government Operations,45000,0,0,0,0,30492518,26425000,0,0,0,0,0,16240700,0,73203218
2018,Sanitation,Trash & Sanitation,0,0,0,0,0,137332424,0,0,0,0,0,0,0,0,137332424
2018,Sheriff,Courts & the Justice System,0,0,0,0,0,23071824,0,0,0,0,0,0,0,0,23071824
2018,Sinking Fund Commission (Debt Service),Government Operations,0,159426123,7000000,0,0,296019214,0,0,0,0,9911000,0,240267536,0,712623873
2018,Streets,Streets,0,0,0,0,7000000,0,32628000,0,0,0,0,38000000,0,0,77628000
2018,Water,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,395446608,0,395446608
2018,Water Department City of Philadelphia - 15 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,37000000,37000000
2018,Youth Commission,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
