fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2018,Art Museum,Arts & Culture,0,0,0,0,0,2550000,0,0,0,0,0,0,0,0,2550000
2018,Atwater Kent Museum,Government Operations,0,0,0,0,0,301897,0,0,0,0,0,0,0,0,301897
2018,Auditing (City Controller),Government Operations,0,0,0,0,0,8949215,249999,0,0,0,0,0,0,0,9199214
2018,Board of Ethics,Government Operations,0,0,0,0,0,1095489,0,0,0,0,0,0,0,0,1095489
2018,Board of Pensions and Retirement City of Philadelphia - 25 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,263000,0,0,0,263000
2018,Board of Revision of Taxes,Government Operations,0,0,0,0,0,1048926,0,0,0,0,0,0,0,0,1048926
2018,Board of Trustees of the Free Library of Philadelphia City of Philadelphia - 20 - City of Philadelphia,Government Operations,0,0,0,0,0,0,7638029,0,0,0,0,0,0,0,7638029
2018,City Commissioners,Government Operations,0,0,0,0,0,9911167,900000,0,0,0,0,0,0,0,10811167
2018,City Council,Government Operations,0,0,0,0,0,17707946,0,0,0,0,0,0,0,0,17707946
2018,City Planning Commission,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,City Representative,Government Operations,0,0,0,0,0,1217420,0,0,0,0,0,0,0,0,1217420
2018,City Treasurer,Government Operations,0,0,0,0,0,1203537,0,0,0,0,0,0,0,0,1203537
2018,Civil Service Commission,Government Operations,0,0,0,0,0,20196970,0,0,0,0,0,0,0,0,20196970
2018,Commerce,Commercial Corridors & Small Businesses,0,177383836,0,9088312,0,5667596,10150000,0,70350000,0,0,0,0,0,272639744
2018,Commerce - Convention Center Subsidy,Government Operations,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,15000000
2018,Commerce - Economic Stimulus,Government Operations,0,0,0,0,0,2794448,0,0,0,0,0,0,0,0,2794448
2018,Department of Human Services - Office of Homeless Services City of Philadelphia - 19 - City of Philadelphia,Government Operations,0,0,0,0,0,0,46880308,0,0,0,0,0,0,0,46880308
2018,Department of Prisons,Government Operations,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,250000
2018,Department of Public Health - Office of Behavioral Health and Intellectual Disability City of Philadelphia - 16 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,1600000,0,0,0,0,0,0,1600000
2018,Director of Commerce City of Philadelphia - 23 - City of Philadelphia,Government Operations,0,14625000,0,0,0,0,0,0,0,0,0,0,0,0,14625000
