fiscal_year,fund,department,tag_peoples_budget,class,total
2019,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2019,General Fund,Atwater Kent Museum,Government Operations,Personal Services,0
2019,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",250000
2019,General Fund,Auditing (City Controller),Government Operations,Personal Services,8687295
2019,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2019,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2019,General Fund,Board of Ethics,Government Operations,Personal Services,988971
2019,General Fund,Board of Ethics,Government Operations,Purchase of Services,96000
2019,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",14000
2019,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1012795
2019,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,42900
2019,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15727
2019,General Fund,City Commissioners,Government Operations,Personal Services,6001999
2019,General Fund,City Commissioners,Government Operations,Purchase of Services,4649061
2019,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",5277617
2019,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2019,General Fund,City Council,Government Operations,Personal Services,14902138
2019,General Fund,City Council,Government Operations,Purchase of Services,2351885
2019,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",553650
2019,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2019,General Fund,City Council,Government Operations,Payments to Other Funds,100
2019,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2019,General Fund,City Representative,Government Operations,Personal Services,769509
2019,General Fund,City Representative,Government Operations,Purchase of Services,399779
2019,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2019,General Fund,City Treasurer,Government Operations,Personal Services,1080056
2019,General Fund,City Treasurer,Government Operations,Purchase of Services,623444
2019,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2019,General Fund,Civil Service Commission,Government Operations,Personal Services,170997
2019,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2019,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2019,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3044944
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,3844185
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2019,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2019,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,1242883
2019,General Fund,District Attorney,Courts & the Justice System,Personal Services,36608378
2019,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3494296
2019,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",1729521
2019,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2019,General Fund,Finance,Government Operations,Personal Services,8044694
2019,General Fund,Finance,Government Operations,Purchase of Services,3029912
2019,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2019,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4525000
2019,General Fund,Finance,Government Operations,Payments to Other Funds,56189704
2019,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,53573000
2019,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,0
2019,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",32409207
2019,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1377964739
