department,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
Office of Behavioral Health and Intellectual disAbility,0,0,0,0,0,0,31534108,309228035,1525810000,0,0,0,0,0,0,0,1866572143
Office of Community Empowerment and Opportunity,0,0,0,0,0,0,5123802,39045129,0,0,0,0,0,0,0,0,44168931
Office of Education,0,0,0,0,0,0,9210440,3291741,0,0,0,0,0,0,0,0,12502181
Office of Homeless Services,0,0,0,0,0,0,84188038,44501162,0,0,0,0,0,0,0,0,128689200
Office of Human Resources,0,0,0,0,0,0,18359074,0,0,0,0,0,0,0,0,0,18359074
Office of Innovation and Technology,0,4686738,0,0,0,0,118442282,67625301,0,0,0,0,0,0,44271837,0,235026158
Office of Innovation and Technology-911,0,0,0,0,0,0,41624234,0,0,0,0,0,0,0,0,0,41624234
Office of Property Assessment,0,0,0,0,0,0,19967369,0,0,0,0,0,0,0,0,0,19967369
Office of Public Safety,0,0,0,0,0,0,67173246,0,0,0,0,0,0,0,0,0,67173246
Office of Public Safety- Office of Prison Oversight,0,0,0,0,0,0,1398107,0,0,0,0,0,0,0,0,0,1398107
Office of Sustainability,0,0,0,0,0,0,3255317,0,0,0,0,0,0,0,0,0,3255317
Office of the Chief Administrative Officer,0,0,0,0,0,0,11934400,0,0,0,0,0,0,0,0,0,11934400
Office of the Inspector General,0,0,0,0,0,0,3017417,0,0,0,0,0,0,0,0,0,3017417
Parks and Recreation,0,0,0,0,0,0,87315660,18726168,0,0,0,0,0,0,0,0,106041828
Planning and Development,0,0,0,0,51564715,0,27404817,211123938,0,0,63797966,0,0,0,0,0,353891436
Police,0,21239408,0,0,0,0,873494820,48660375,0,0,0,0,0,0,0,0,943394603
Prisons,0,0,0,0,0,0,310245944,0,0,0,0,0,0,0,0,0,310245944
Procurement,0,0,0,0,0,0,6904589,0,0,0,0,0,0,0,115569,0,7020158
Public Health,257666006,0,0,0,0,0,162389004,320827189,0,0,0,0,0,0,0,0,740882199
Public Property,0,0,0,0,0,0,102234178,0,0,0,0,0,0,0,5494744,0,107728922
Public Property-SEPTA Subsidy,0,0,0,0,0,0,134989000,0,0,0,0,0,0,0,0,0,134989000
Public Property-Space Rentals,0,0,0,0,0,0,57736320,0,0,0,0,0,0,0,0,0,57736320
Public Property-Utilities,0,18300000,0,0,0,0,33578003,0,0,0,0,0,0,0,0,0,51878003
Records,0,0,0,0,0,0,4746573,0,0,0,0,0,0,0,0,0,4746573
Register Of Wills,0,0,0,0,0,0,0,850000,0,0,0,0,0,0,0,0,850000
Register of Wills,0,0,0,0,0,0,6218094,0,0,0,0,0,0,0,0,0,6218094
Revenue,45000,0,0,0,0,0,30813539,22650000,0,0,0,0,0,0,19944370,0,73452909
Sanitation,0,0,0,0,0,0,116776090,0,0,0,0,0,0,0,0,0,116776090
Sanitation-Disposal,0,0,0,0,0,0,63238164,0,0,0,0,0,0,0,0,0,63238164
Sheriff,0,0,0,0,0,0,35484813,0,0,0,0,0,0,0,0,0,35484813
Sinking Fund Commission (Debt Service),0,145590623,0,7000000,0,0,404772470,0,0,0,8264034,15932000,0,0,271043908,0,852603035
Streets,0,0,0,0,0,12031000,0,82286600,0,0,0,0,0,36708512,0,0,131026112
Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608440399,32994000,641434399
