fiscal_year,fund,department,tag_peoples_budget,class,total
2017,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2017,General Fund,Atwater Kent Museum,Government Operations,Personal Services,248444
2017,General Fund,Atwater Kent Museum,Government Operations,Purchase of Services,0
2017,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",50000
2017,General Fund,Auditing (City Controller),Government Operations,Personal Services,8070097
2017,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,397450
2017,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2017,General Fund,Auditing (City Controller),Government Operations,"Contrib., Indemnities & Taxes",0
2017,General Fund,Board of Ethics,Government Operations,Personal Services,972118
2017,General Fund,Board of Ethics,Government Operations,Purchase of Services,96000
2017,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",14000
2017,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,832785
2017,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,120200
2017,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15727
2017,General Fund,Board of Revision of Taxes,Government Operations,"Contrib., Indemnities & Taxes",0
2017,General Fund,City Commissioners,Government Operations,Personal Services,5793295
2017,General Fund,City Commissioners,Government Operations,Purchase of Services,4097350
2017,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",788617
2017,General Fund,City Council,Government Operations,Personal Services,14469130
2017,General Fund,City Council,Government Operations,Purchase of Services,1904485
2017,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",510650
2017,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2017,General Fund,City Council,Government Operations,Payments to Other Funds,100
2017,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2017,General Fund,City Planning Commission,Government Operations,Personal Services,2370957
2017,General Fund,City Planning Commission,Government Operations,Purchase of Services,126187
2017,General Fund,City Planning Commission,Government Operations,"Materials, Supplies & Equip.",40652
2017,General Fund,City Representative,Government Operations,Personal Services,595176
2017,General Fund,City Representative,Government Operations,Purchase of Services,356730
2017,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2017,General Fund,City Treasurer,Government Operations,Personal Services,1050911
2017,General Fund,City Treasurer,Government Operations,Purchase of Services,115631
2017,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2017,General Fund,Civil Service Commission,Government Operations,Personal Services,150611
2017,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2017,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2017,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2017,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2265934
2017,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,2121438
2017,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2017,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2017,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2017,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,3354448
2017,General Fund,District Attorney,Courts & the Justice System,Personal Services,33278575
2017,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,2597257
2017,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",546328
2017,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2017,General Fund,Finance,Government Operations,Personal Services,6902480
2017,General Fund,Finance,Government Operations,Purchase of Services,2967252
2017,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2017,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",2885000
2017,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
