fiscal_year,fund,department,tag_peoples_budget,class,total
2021,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2021,General Fund,Human Relations Commission,Government Operations,Personal Services,2360285
2021,General Fund,Human Relations Commission,Government Operations,Purchase of Services,34657
2021,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",28031
2021,General Fund,Human Services,Youth Services,Personal Services,31673433
2021,General Fund,Human Services,Youth Services,Purchase of Services,129305230
2021,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",2111970
2021,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",0
2021,General Fund,Labor,Government Operations,Personal Services,2395467
2021,General Fund,Labor,Government Operations,Purchase of Services,357217
2021,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",86420
2021,General Fund,Law,Government Operations,Personal Services,9520003
2021,General Fund,Law,Government Operations,Purchase of Services,5309427
2021,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",184676
2021,General Fund,Licenses & Inspection,Government Operations,Personal Services,23970217
2021,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,13447002
2021,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",834475
2021,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,82018
2021,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,165635
2021,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2021,General Fund,Managing Director,Government Operations,Personal Services,36119907
2021,General Fund,Managing Director,Government Operations,Purchase of Services,31588550
2021,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",1556787
2021,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",1350000
2021,General Fund,Managing Director - Legal Services,Government Operations,Purchase of Services,50104181
2021,General Fund,Mayor's Office,Government Operations,Personal Services,5775991
2021,General Fund,Mayor's Office,Government Operations,Purchase of Services,646260
2021,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",41341
2021,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",100000
2021,General Fund,Mural Arts Program,Arts & Culture,Personal Services,578952
2021,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,1545610
2021,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Personal Services,0
2021,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Purchase of Services,0
2021,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,"Materials, Supplies & Equip.",0
2021,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,1546510
2021,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,13930892
2021,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,4256565
2021,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,2050549
2021,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",26665
2021,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,45000
2021,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,0
2021,General Fund,Office of Children and Families,Government Operations,Personal Services,418820
2021,General Fund,Office of Children and Families,Government Operations,Purchase of Services,0
2021,General Fund,Office of Children and Families,Government Operations,"Materials, Supplies & Equip.",0
2021,General Fund,Office of Children and Families,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,8068689
2021,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,35593350
2021,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",344127
2021,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",32421
2021,General Fund,Office of Human Resources,Government Operations,Personal Services,5290733
2021,General Fund,Office of Human Resources,Government Operations,Purchase of Services,877570
2021,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",69432
2021,General Fund,Office of Innovation and Technology,Government Operations,Personal Services,22822147
2021,General Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,46576598
2021,General Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",6396428
2021,General Fund,Office of Innovation and Technology,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Office of Innovation and Technology - 911,Government Operations,Personal Services,1341547
2021,General Fund,Office of Innovation and Technology - 911,Government Operations,Purchase of Services,29159009
2021,General Fund,Office of Innovation and Technology - 911,Government Operations,"Materials, Supplies & Equip.",23064399
2021,General Fund,Office of the Inspector General,Government Operations,Personal Services,1472481
2021,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,97975
2021,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",5225
2021,General Fund,Office of Property Assessment,Government Operations,Personal Services,12918061
2021,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,2420632
2021,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",762600
2021,General Fund,Office of Sustainability,Government Operations,Personal Services,603814
2021,General Fund,Office of Sustainability,Government Operations,Purchase of Services,423366
2021,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",1000
2021,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,175000
2021,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,46921787
2021,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,4482142
2021,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",2022225
2021,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",1500000
2021,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,0
2021,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,4834959
2021,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,3619463
2021,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",80761
2021,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",0
2021,General Fund,Police,Police,Personal Services,704077967
2021,General Fund,Police,Police,Purchase of Services,10135755
2021,General Fund,Police,Police,"Materials, Supplies & Equip.",12794012
2021,General Fund,Police,Police,"Contrib., Indemnities & Taxes",0
2021,General Fund,Prisons,Courts & the Justice System,Personal Services,126599446
2021,General Fund,Prisons,Courts & the Justice System,Purchase of Services,88351948
2021,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",4016769
2021,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1201757
2021,General Fund,Procurement,Government Operations,Personal Services,2436508
2021,General Fund,Procurement,Government Operations,Purchase of Services,2283634
2021,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",40194
2021,General Fund,Public Health,Public Health Centers,Personal Services,57654465
2021,General Fund,Public Health,Public Health Centers,Purchase of Services,90506143
2021,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",6768973
2021,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",0
2021,General Fund,Public Health,Public Health Centers,Payments to Other Funds,4423404
2021,General Fund,Public Property,Government Operations,Personal Services,10101149
2021,General Fund,Public Property,Government Operations,Purchase of Services,30549657
2021,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1338535
2021,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Public Property,Government Operations,Payments to Other Funds,28235000
2021,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,84608000
2021,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,25567715
2021,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,25447623
2021,General Fund,Records,Government Operations,Personal Services,3117312
2021,General Fund,Records,Government Operations,Purchase of Services,743265
2021,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",143758
2021,General Fund,Records,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Register of Wills,Government Operations,Personal Services,3956193
2021,General Fund,Register of Wills,Government Operations,Purchase of Services,125000
2021,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",140236
2021,General Fund,Revenue,Government Operations,Personal Services,22648673
2021,General Fund,Revenue,Government Operations,Purchase of Services,5787749
2021,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",774976
2021,General Fund,Revenue,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Sheriff,Courts & the Justice System,Personal Services,25192450
2021,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,1105267
2021,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",498157
2021,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2021,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,96918314
2021,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,185714117
2021,General Fund,Streets - Disposal,Government Operations,Purchase of Services,51462580
2021,General Fund,Streets,Streets,Personal Services,87283619
2021,General Fund,Streets,Streets,Purchase of Services,8050100
2021,General Fund,Streets,Streets,"Materials, Supplies & Equip.",6172885
2021,General Fund,Streets,Streets,"Contrib., Indemnities & Taxes",53171
2021,Water Fund,Mayor - Office of Innovation and Technology City of Philadelphia - 12 - City of Philadelphia,Government Operations,Personal Services,8742629
2021,Water Fund,Mayor - Office of Innovation and Technology City of Philadelphia - 12 - City of Philadelphia,Government Operations,Purchase of Services,20700879
2021,Water Fund,Mayor - Office of Innovation and Technology City of Philadelphia - 12 - City of Philadelphia,Government Operations,"Materials, Supplies & Equip.",2048850
2021,Water Fund,Managing Director,Government Operations,Personal Services,138550
2021,Water Fund,Managing Director - Office of Fleet Management,Government Operations,Personal Services,3365544
2021,Water Fund,Managing Director - Office of Fleet Management,Government Operations,Purchase of Services,1489000
2021,Water Fund,Managing Director - Office of Fleet Management,Government Operations,"Materials, Supplies & Equip.",4044640
2021,Water Fund,Public Property,Government Operations,Purchase of Services,4368565
2021,Water Fund,Water,Government Operations,Personal Services,138066039
2021,Water Fund,Water,Government Operations,Purchase of Services,176525250
2021,Water Fund,Water,Government Operations,"Materials, Supplies & Equip.",53965300
2021,Water Fund,Water,Government Operations,"Contrib., Indemnities & Taxes",510000
2021,Water Fund,Water,Government Operations,Payments to Other Funds,70000000
2021,Water Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,135546760
2021,Water Fund,Director of Finance - Indemnities City of Philadelphia - 13 - City of Philadelphia,Government Operations,"Contrib., Indemnities & Taxes",7500000
2021,Water Fund,Revenue,Government Operations,Personal Services,11047032
2021,Water Fund,Revenue,Government Operations,Purchase of Services,5165000
2021,Water Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",1434500
2021,Water Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,203122357
2021,Water Fund,Procurement,Government Operations,Personal Services,110515
2021,Water Fund,Law,Government Operations,Personal Services,2570334
2021,Water Fund,Law,Government Operations,Purchase of Services,691614
2021,Water Fund,Law,Government Operations,"Materials, Supplies & Equip.",43010
2021,Water Fund,Office of Sustainability,Government Operations,Personal Services,63874
2021,Water Fund,Office of Sustainability,Government Operations,Purchase of Services,30000
2021,Water Fund,Water,Government Operations,Personal Services,44558
2021,Water Fund,Water,Government Operations,Purchase of Services,755200
2021,Water Residual Fund,Water,Government Operations,Purchase of Services,2000000
2021,Water Residual Fund,Water,Government Operations,"Materials, Supplies & Equip.",2000000
2021,Water Residual Fund,Water,Government Operations,Payments to Other Funds,33000000
2021,County Liquid Fuels Tax Fund,Streets,Streets,Personal Services,3734000
2021,County Liquid Fuels Tax Fund,Streets,Streets,Purchase of Services,6920330
2021,County Liquid Fuels Tax Fund,Streets,Streets,"Materials, Supplies & Equip.",200000
2021,County Liquid Fuels Tax Fund,Streets,Streets,Payments to Other Funds,18670
2021,Special Gasoline Tax Fund,Streets,Streets,Personal Services,9371502
2021,Special Gasoline Tax Fund,Streets,Streets,Purchase of Services,18641276
2021,Special Gasoline Tax Fund,Streets,Streets,"Materials, Supplies & Equip.",11886222
2021,Special Gasoline Tax Fund,Streets,Streets,Payments to Other Funds,30000
2021,Special Gasoline Tax Fund,Director of Finance - Fringe Benefits City of Philadelphia - 15 - City of Philadelphia,Government Operations,Pers. Svcs.-Emp.Benefits,1000000
2021,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,947592
2021,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Pers. Svcs.-Emp.Benefits,299394
2021,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,1298558014
2021,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Payments to Other Funds,195000
2021,Hotel Room Rental Tax Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",56623000
2021,Grants Revenue Fund,City Council - Veterans Advisory Committee,Government Operations,Personal Services,100000
2021,Grants Revenue Fund,City Council - Veterans Advisory Committee,Government Operations,Purchase of Services,75000
2021,Grants Revenue Fund,City Council - Veterans Advisory Committee,Government Operations,"Materials, Supplies & Equip.",30100
2021,Grants Revenue Fund,City Council - Veterans Advisory Committee,Government Operations,"Contrib., Indemnities & Taxes",100
2021,Grants Revenue Fund,City Council - Veterans Advisory Committee,Government Operations,Payments to Other Funds,100
2021,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,Personal Services,327835
2021,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,2666623
2021,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",3723758
2021,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,Payments to Other Funds,71500662
2021,Grants Revenue Fund,Mayor,Government Operations,Personal Services,175000
2021,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,2769699
2021,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,Pers. Svcs.-Emp.Benefits,510594
2021,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,30900794
2021,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Materials, Supplies & Equip.",77982
2021,Grants Revenue Fund,Managing Director,Government Operations,Personal Services,51334779
2021,Grants Revenue Fund,Managing Director,Government Operations,Pers. Svcs.-Emp.Benefits,545759
2021,Grants Revenue Fund,Managing Director,Government Operations,Purchase of Services,52089119
2021,Grants Revenue Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",88458300
2021,Grants Revenue Fund,Police,Police,Personal Services,4654600
2021,Grants Revenue Fund,Police,Police,Pers. Svcs.-Emp.Benefits,366700
2021,Grants Revenue Fund,Police,Police,Purchase of Services,3406278
2021,Grants Revenue Fund,Police,Police,"Materials, Supplies & Equip.",6937200
2021,Grants Revenue Fund,Streets,Streets,Personal Services,1090000
2021,Grants Revenue Fund,Streets,Streets,Purchase of Services,30766000
2021,Grants Revenue Fund,Streets,Streets,"Materials, Supplies & Equip.",5363000
2021,Grants Revenue Fund,Fire,Emergency Services,Personal Services,19169000
2021,Grants Revenue Fund,Fire,Emergency Services,Pers. Svcs.-Emp.Benefits,1444445
2021,Grants Revenue Fund,Fire,Emergency Services,Purchase of Services,5283000
2021,Grants Revenue Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",5155288
2021,Grants Revenue Fund,Public Health,Public Health Centers,Personal Services,20503318
2021,Grants Revenue Fund,Public Health,Public Health Centers,Pers. Svcs.-Emp.Benefits,4888264
2021,Grants Revenue Fund,Public Health,Public Health Centers,Purchase of Services,121258096
2021,Grants Revenue Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",22236836
2021,Grants Revenue Fund,Public Health,Public Health Centers,Payments to Other Funds,21886695
2021,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,19919849
2021,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Pers. Svcs.-Emp.Benefits,9343138
2021,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,264841345
2021,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Materials, Supplies & Equip.",250000
2021,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Payments to Other Funds,98934
2021,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,Personal Services,3354755
2021,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,Pers. Svcs.-Emp.Benefits,171415
2021,Grants Revenue Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,1823731
2021,Grants Revenue Fund,Department of Parks and Recreation City of Philadelphia - 18 - City of Philadelphia,Government Operations,"Materials, Supplies & Equip.",7875928
2021,Grants Revenue Fund,Human Services,Youth Services,Personal Services,89303995
2021,Grants Revenue Fund,Human Services,Youth Services,Pers. Svcs.-Emp.Benefits,65751515
2021,Grants Revenue Fund,Human Services,Youth Services,Purchase of Services,479001330
2021,Grants Revenue Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",3929155
2021,Grants Revenue Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,3643654
2021,Grants Revenue Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,75707402
2021,Grants Revenue Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",1271376
2021,Grants Revenue Fund,Finance,Government Operations,Advances and Other Misc. Payments,1000000000
2021,Grants Revenue Fund,Revenue,Government Operations,Purchase of Services,23000000
2021,Grants Revenue Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,10175000
2021,Grants Revenue Fund,Office of Sustainability,Government Operations,Personal Services,90000
2021,Grants Revenue Fund,Office of Sustainability,Government Operations,Purchase of Services,135000
2021,Grants Revenue Fund,Free Library,Libraries,Personal Services,2248507
2021,Grants Revenue Fund,Free Library,Libraries,Purchase of Services,2808718
2021,Grants Revenue Fund,Free Library,Libraries,"Materials, Supplies & Equip.",3366275
2021,Grants Revenue Fund,Auditing (City Controller),Government Operations,Purchase of Services,500000
2021,Grants Revenue Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",100000
2021,Grants Revenue Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",200000
2021,Grants Revenue Fund,District Attorney,Courts & the Justice System,Personal Services,8276780
2021,Grants Revenue Fund,District Attorney,Courts & the Justice System,Pers. Svcs.-Emp.Benefits,545000
2021,Grants Revenue Fund,District Attorney,Courts & the Justice System,Purchase of Services,4377460
2021,Grants Revenue Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",3630300
2021,Grants Revenue Fund,Planning and Development,Housing & Homeless Services,Personal Services,90000
2021,Grants Revenue Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,61992437
2021,Grants Revenue Fund,City Commissioners,Government Operations,Personal Services,350000
2021,Grants Revenue Fund,City Commissioners City of Philadelphia - 20 - City of Philadelphia,Government Operations,Purchase of Services,2215000
2021,Grants Revenue Fund,City Commissioners City of Philadelphia - 20 - City of Philadelphia,Government Operations,"Materials, Supplies & Equip.",200000
2021,Grants Revenue Fund,First Judicial District,Courts & the Justice System,Personal Services,29471974
2021,Grants Revenue Fund,First Judicial District,Courts & the Justice System,Pers. Svcs.-Emp.Benefits,14574449
2021,Grants Revenue Fund,First Judicial District,Courts & the Justice System,Purchase of Services,5612707
2021,Grants Revenue Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2013465
2021,Grants Revenue Fund,First Judicial District,Courts & the Justice System,Payments to Other Funds,5622507
2021,Aviation Fund,Office of Innovation and Technology,Government Operations,Personal Services,1201280
2021,Aviation Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,1320071
2021,Aviation Fund,Managing Director - Office of Fleet Management,Government Operations,Personal Services,1320817
2021,Aviation Fund,Managing Director - Office of Fleet Management,Government Operations,Purchase of Services,470400
2021,Aviation Fund,Managing Director - Office of Fleet Management,Government Operations,"Materials, Supplies & Equip.",1194400
2021,Aviation Fund,Managing Director - Office of Fleet Management - Vehicle Purchase,Government Operations,"Materials, Supplies & Equip.",1800000
2021,Aviation Fund,Police Department City of Philadelphia - 21 - City of Philadelphia,Government Operations,Personal Services,14724843
2021,Aviation Fund,Police Department City of Philadelphia - 21 - City of Philadelphia,Government Operations,Purchase of Services,63960
2021,Aviation Fund,Police Department City of Philadelphia - 21 - City of Philadelphia,Government Operations,"Materials, Supplies & Equip.",74400
2021,Aviation Fund,Fire,Emergency Services,Personal Services,8201772
2021,Aviation Fund,Fire,Emergency Services,Purchase of Services,12000
2021,Aviation Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",124720
2021,Aviation Fund,Fire,Emergency Services,Payments to Other Funds,18400
2021,Aviation Fund,Public Property-Utilities,Government Operations,Purchase of Services,21900000
2021,Aviation Fund,Finance,Government Operations,Purchase of Services,3146000
2021,Aviation Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,63749755
2021,Aviation Fund,Finance-Indemnities,Government Operations,"Contrib., Indemnities & Taxes",2512000
2021,Aviation Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,138778094
2021,Aviation Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,54426534
2021,Aviation Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,85000000
2021,Aviation Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",7000000
2021,Aviation Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",6300000
2021,Aviation Fund,Commerce,Commercial Corridors & Small Businesses,Payments to Other Funds,11000000
2021,Aviation Fund,Law,Government Operations,Personal Services,1286681
