fiscal_year,fund,department,tag_peoples_budget,class,total
2023,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,1926020
2023,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",362600
2023,General Fund,Office of Sustainability,Government Operations,Personal Services,1149701
2023,General Fund,Office of Sustainability,Government Operations,Purchase of Services,848366
2023,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",1000
2023,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,175000
2023,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,59175651
2023,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,8350442
2023,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",4307025
2023,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",3350000
2023,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,0
2023,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,5779386
2023,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,21848463
2023,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",144761
2023,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",4500000
2023,General Fund,Police,Police,Personal Services,764495947
2023,General Fund,Police,Police,Purchase of Services,13147116
2023,General Fund,Police,Police,"Materials, Supplies & Equip.",17345952
2023,General Fund,Police,Police,"Contrib., Indemnities & Taxes",0
2023,General Fund,Police,Police,Payments to Other Funds,5000000
2023,General Fund,Prisons,Courts & the Justice System,Personal Services,158889026
2023,General Fund,Prisons,Courts & the Justice System,Purchase of Services,113696211
2023,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",5101795
2023,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1201757
2023,General Fund,Procurement,Government Operations,Personal Services,3411587
2023,General Fund,Procurement,Government Operations,Purchase of Services,4406115
2023,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",39359
2023,General Fund,Procurement,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Public Health,Public Health Centers,Personal Services,62781033
2023,General Fund,Public Health,Public Health Centers,Purchase of Services,86534022
2023,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",6346403
2023,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",0
2023,General Fund,Public Health,Public Health Centers,Payments to Other Funds,923404
2023,General Fund,Public Property,Government Operations,Personal Services,12064207
2023,General Fund,Public Property,Government Operations,Purchase of Services,42966523
2023,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1338535
2023,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Public Property,Government Operations,Payments to Other Funds,27184004
2023,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,100699000
2023,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,34123144
2023,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,32986853
2023,General Fund,Records,Government Operations,Personal Services,3376994
2023,General Fund,Records,Government Operations,Purchase of Services,758985
2023,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",143758
2023,General Fund,Records,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Register of Wills,Government Operations,Personal Services,4327557
2023,General Fund,Register of Wills,Government Operations,Purchase of Services,406959
2023,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",140236
2023,General Fund,Revenue,Government Operations,Personal Services,21951596
2023,General Fund,Revenue,Government Operations,Purchase of Services,4875231
2023,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",1006152
2023,General Fund,Revenue,Government Operations,"Contrib., Indemnities & Taxes",0
2023,General Fund,Sheriff,Courts & the Justice System,Personal Services,28365689
2023,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,1305267
2023,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",1203507
2023,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2023,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,115087498
2023,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,193710223
2023,General Fund,Streets - Disposal,Government Operations,Purchase of Services,55389886
2023,General Fund,Streets,Streets,Personal Services,122494102
2023,General Fund,Streets,Streets,Purchase of Services,15320345
2023,General Fund,Streets,Streets,"Materials, Supplies & Equip.",23399981
2023,General Fund,Streets,Streets,"Contrib., Indemnities & Taxes",53171
