fiscal_year,fund,department,tag_peoples_budget,class,total
2020,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2020,General Fund,Auditing (City Controller),Government Operations,Personal Services,9466389
2020,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,496971
2020,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",20603
2020,General Fund,Board of Ethics,Government Operations,Personal Services,922164
2020,General Fund,Board of Ethics,Government Operations,Purchase of Services,42474
2020,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",4112
2020,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1044789
2020,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,39013
2020,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",22571
2020,General Fund,City Commissioners,Government Operations,Personal Services,7075077
2020,General Fund,City Commissioners,Government Operations,Purchase of Services,5648640
2020,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",1459681
2020,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,City Council,Government Operations,Personal Services,14433197
2020,General Fund,City Council,Government Operations,Purchase of Services,2444348
2020,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528131
2020,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",793
2020,General Fund,City Council,Government Operations,Payments to Other Funds,0
2020,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2020,General Fund,City Representative,Government Operations,Personal Services,683372
2020,General Fund,City Representative,Government Operations,Purchase of Services,320942
2020,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",24746
2020,General Fund,City Treasurer,Government Operations,Personal Services,1268936
2020,General Fund,City Treasurer,Government Operations,Purchase of Services,180610
2020,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",6762
2020,General Fund,Civil Service Commission,Government Operations,Personal Services,160826
2020,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2020,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",500
2020,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3453180
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,6252079
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",21871
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2020,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2020,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,5654666
2020,General Fund,District Attorney,Courts & the Justice System,Personal Services,38029618
2020,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3702006
2020,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",636277
2020,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",2913759
2020,General Fund,Finance,Government Operations,Personal Services,9222201
2020,General Fund,Finance,Government Operations,Purchase of Services,3044069
2020,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",46241
2020,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",5690466
2020,General Fund,Finance,Government Operations,Payments to Other Funds,81285000
2020,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2020,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,34276000
2020,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",36059207
2020,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1363379633
2020,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",7238981
2020,General Fund,Finance - Reg #32,Government Operations,Personal Services,1092451
2020,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",11660
2020,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",227106410
