fiscal_year,fund,department,tag_peoples_budget,class,total
2022,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2022,General Fund,Auditing (City Controller),Government Operations,Personal Services,9785988
2022,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2022,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2022,General Fund,Board of Ethics,Government Operations,Personal Services,938750
2022,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2022,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2022,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1019348
2022,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,37900
2022,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17727
2022,General Fund,City Commissioners,Government Operations,Personal Services,10936150
2022,General Fund,City Commissioners,Government Operations,Purchase of Services,6085101
2022,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",4148309
2022,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,City Council,Government Operations,Personal Services,15853058
2022,General Fund,City Council,Government Operations,Purchase of Services,3114885
2022,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2022,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2022,General Fund,City Council,Government Operations,Payments to Other Funds,100
2022,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2022,General Fund,City Treasurer,Government Operations,Personal Services,1447348
2022,General Fund,City Treasurer,Government Operations,Purchase of Services,3181468
2022,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2022,General Fund,Civil Service Commission,Government Operations,Personal Services,179944
2022,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2022,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2022,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,9889279
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3681294
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,10060549
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2022,General Fund,Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,Purchase of Services,15000000
2022,General Fund,Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,Purchase of Services,5834550
2022,General Fund,District Attorney,Courts & the Justice System,Personal Services,38812427
2022,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3343738
2022,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",533417
2022,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2022,General Fund,Finance,Government Operations,Personal Services,10315325
2022,General Fund,Finance,Government Operations,Purchase of Services,3277642
2022,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",45616
2022,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",18069700
2022,General Fund,Finance,Government Operations,Payments to Other Funds,11360000
2022,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2022,General Fund,Finance-Budget Stabilization,Government Operations,Payments to Other Funds,0
2022,General Fund,Finance-Community College Subsidy,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",48128075
2022,General Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1504836775
2022,General Fund,Finance-Hero Scholarship Awards,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",54000
2022,General Fund,Finance-Indemnities,Government Operations,"Contrib., Indemnities & Taxes",49246000
2022,General Fund,Finance-Reg #32,Government Operations,Personal Services,2293165
2022,General Fund,Finance-Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2022,General Fund,Finance-School District Contribution,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",255953201
2022,General Fund,Finance-Witness Fees,Government Operations,Purchase of Services,171518
2022,General Fund,Fire,Emergency Services,Personal Services,344579456
2022,General Fund,Fire,Emergency Services,Purchase of Services,7068143
2022,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",14288864
2022,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2022,General Fund,Fire,Emergency Services,Payments to Other Funds,7231000
2022,General Fund,First Judicial District,Courts & the Justice System,Personal Services,108874250
2022,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,8643039
2022,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2231868
2022,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2022,General Fund,Fleet Services,Government Operations,Personal Services,20150027
2022,General Fund,Fleet Services,Government Operations,Purchase of Services,5401396
2022,General Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",24522684
2022,General Fund,Fleet Services,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,Fleet Services -Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",9745852
2022,General Fund,Free Library,Libraries,Personal Services,41456287
2022,General Fund,Free Library,Libraries,Purchase of Services,2028262
2022,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",1842128
2022,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2022,General Fund,Human Relations Commission,Government Operations,Personal Services,2463907
2022,General Fund,Human Relations Commission,Government Operations,Purchase of Services,34657
2022,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",28031
2022,General Fund,Human Services,Youth Services,Personal Services,34254330
2022,General Fund,Human Services,Youth Services,Purchase of Services,143474084
2022,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",2111970
2022,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",1393638
2022,General Fund,Labor,Government Operations,Personal Services,2884257
2022,General Fund,Labor,Government Operations,Purchase of Services,455817
2022,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",21420
2022,General Fund,Law,Government Operations,Personal Services,13740897
2022,General Fund,Law,Government Operations,Purchase of Services,8046427
2022,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",84676
2022,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,Licenses & Inspection,Government Operations,Personal Services,25792609
2022,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,13447002
2022,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",809475
2022,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,L&I-Board of Building Standards,Government Operations,Personal Services,82151
2022,General Fund,L&I-Board of L&I Review,Government Operations,Personal Services,171162
2022,General Fund,L&I-Board of L&I Review,Government Operations,Purchase of Services,10436
2022,General Fund,Managing Director,Government Operations,Personal Services,34056821
2022,General Fund,Managing Director,Government Operations,Purchase of Services,57531320
2022,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",10333489
2022,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",4000000
2022,General Fund,Managing Director,Government Operations,Payments to Other Funds,0
2022,General Fund,Managing Director-Legal Services,Government Operations,Purchase of Services,52404449
2022,General Fund,Managing Director-Citizens Police Oversight Commission,Police,Personal Services,1083000
2022,General Fund,Managing Director-Citizens Police Oversight Commission,Police,Purchase of Services,1065070
2022,General Fund,Managing Director-Citizens Police Oversight Commission,Police,"Materials, Supplies & Equip.",2000
2022,General Fund,Mayor's Office,Government Operations,Personal Services,5920633
2022,General Fund,Mayor's Office,Government Operations,Purchase of Services,880260
2022,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",31341
2022,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",135000
2022,General Fund,Mural Arts Program,Arts & Culture,Personal Services,593403
2022,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,2065610
2022,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,2963046
2022,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,20572810
2022,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,"Materials, Supplies & Equip.",43200
2022,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,4605680
2022,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,2579340
2022,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",551065
2022,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,45000
2022,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,1464000
2022,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Materials, Supplies & Equip.",0
2022,General Fund,Office of Children and Families,Government Operations,Personal Services,447742
2022,General Fund,Office of Children and Families,Government Operations,Purchase of Services,0
2022,General Fund,Office of Children and Families,Government Operations,"Materials, Supplies & Equip.",0
2022,General Fund,Office of Children and Families,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,9786985
2022,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,46094639
2022,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",344127
2022,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",32421
2022,General Fund,Office of Human Resources,Government Operations,Personal Services,5426581
2022,General Fund,Office of Human Resources,Government Operations,Purchase of Services,787570
2022,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",69432
