fiscal_year,fund,department,tag_peoples_budget,class,total
2018,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2018,General Fund,Atwater Kent Museum,Government Operations,Personal Services,247148
2018,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",50000
2018,General Fund,Auditing (City Controller),Government Operations,Personal Services,8173054
2018,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2018,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2018,General Fund,Auditing (City Controller),Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Board of Ethics,Government Operations,Personal Services,963764
2018,General Fund,Board of Ethics,Government Operations,Purchase of Services,96000
2018,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",14000
2018,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,919050
2018,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,90200
2018,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15727
2018,General Fund,Board of Revision of Taxes,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,City Commissioners,Government Operations,Personal Services,5839015
2018,General Fund,City Commissioners,Government Operations,Purchase of Services,3497350
2018,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",541617
2018,General Fund,City Council,Government Operations,Personal Services,14824858
2018,General Fund,City Council,Government Operations,Purchase of Services,1971885
2018,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2018,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2018,General Fund,City Council,Government Operations,Payments to Other Funds,100
2018,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2018,General Fund,City Planning Commission,Government Operations,Personal Services,0
2018,General Fund,City Planning Commission,Government Operations,Purchase of Services,0
2018,General Fund,City Planning Commission,Government Operations,"Materials, Supplies & Equip.",0
2018,General Fund,City Representative,Government Operations,Personal Services,671438
2018,General Fund,City Representative,Government Operations,Purchase of Services,487511
2018,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2018,General Fund,City Treasurer,Government Operations,Personal Services,1038648
2018,General Fund,City Treasurer,Government Operations,Purchase of Services,109873
2018,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",12724
2018,General Fund,Civil Service Commission,Government Operations,Personal Services,162437
2018,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2018,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2018,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,12577852
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2122660
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,2968012
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2018,General Fund,Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,Purchase of Services,15000000
2018,General Fund,Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,Purchase of Services,2854448
2018,General Fund,District Attorney,Courts & the Justice System,Personal Services,33275547
2018,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,2719296
2018,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",529521
2018,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2018,General Fund,Finance,Government Operations,Personal Services,7024765
2018,General Fund,Finance,Government Operations,Purchase of Services,3029912
2018,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2018,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4400000
2018,General Fund,Finance,Government Operations,Payments to Other Funds,0
2018,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2018,General Fund,Finance-Community College Subsidy,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",30409207
2018,General Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1331662147
2018,General Fund,Finance-Hero Scholarship Awards,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",25000
2018,General Fund,Finance-Indemnities,Government Operations,"Contrib., Indemnities & Taxes",44920000
2018,General Fund,Finance-Reg #32,Government Operations,Personal Services,2650000
2018,General Fund,Finance-Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2018,General Fund,Finance-School District Contribution,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",104348281
2018,General Fund,Finance-Witness Fees,Government Operations,Purchase of Services,171518
