fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2019,Public Health,Public Health Centers,149000000,0,0,0,0,156633875,154212298,0,0,0,0,0,0,0,459846173
2019,Public Property,Government Operations,0,0,0,0,0,67881546,0,0,0,0,0,0,4265847,0,72147393
2019,Public Property-SEPTA Subsidy,Public Transit,0,0,0,0,0,84608000,0,0,0,0,0,0,0,0,84608000
2019,Public Property-Space Rentals,Government Operations,0,0,0,0,0,22457948,0,0,0,0,0,0,0,0,22457948
2019,Public Property-Utilities,Government Operations,0,26900000,0,0,0,25008269,0,0,0,0,0,0,0,0,51908269
2019,Records,Government Operations,0,0,0,0,0,4768507,0,0,0,0,0,0,0,0,4768507
2019,Register of Wills,Government Operations,0,0,0,0,0,4438881,200000,0,0,0,0,0,0,0,4638881
2019,Revenue,Government Operations,45000,0,0,0,0,30707541,26425000,0,0,0,0,0,0,0,57177541
2019,Sheriff,Courts & the Justice System,0,0,0,0,0,26150422,0,0,0,0,0,0,0,0,26150422
2019,Sinking Fund Commission (Debt Service),Government Operations,0,163801936,7000000,0,0,295032504,0,0,0,0,10562000,0,212992336,0,689388776
2019,Streets,Streets,0,0,0,0,7273000,102490485,23779000,0,0,0,0,35940000,0,0,169482485
2019,Streets-Disposal,Government Operations,0,0,0,0,0,39490785,0,0,0,0,0,0,0,0,39490785
2019,Water,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,419785912,37000000,456785912
