fiscal_year,fund,department,tag_peoples_budget,class,total
2021,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2021,General Fund,Auditing (City Controller),Government Operations,Personal Services,9311029
2021,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,496985
2021,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",16746
2021,General Fund,Board of Ethics,Government Operations,Personal Services,801988
2021,General Fund,Board of Ethics,Government Operations,Purchase of Services,14301
2021,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",1236
2021,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,1002561
2021,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,33630
2021,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",13458
2021,General Fund,City Commissioners,Government Operations,Personal Services,8293480
2021,General Fund,City Commissioners,Government Operations,Purchase of Services,9661241
2021,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",2904520
2021,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",12000
2021,General Fund,City Council,Government Operations,Personal Services,14051449
2021,General Fund,City Council,Government Operations,Purchase of Services,2726178
2021,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",223919
2021,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",8000
2021,General Fund,City Council,Government Operations,Payments to Other Funds,0
2021,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2021,General Fund,City Treasurer,Government Operations,Personal Services,1230203
2021,General Fund,City Treasurer,Government Operations,Purchase of Services,473859
2021,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",10742
2021,General Fund,Civil Service Commission,Government Operations,Personal Services,140533
2021,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2021,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",0
2021,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2499341
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,816298
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",6374
2021,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",0
2021,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15010679
2021,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,2957678
2021,General Fund,District Attorney,Courts & the Justice System,Personal Services,38421902
2021,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3079896
2021,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",522416
2021,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",2719
2021,General Fund,Finance,Government Operations,Personal Services,9293924
2021,General Fund,Finance,Government Operations,Purchase of Services,2714841
2021,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",24386
2021,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",24309220
2021,General Fund,Finance,Government Operations,Payments to Other Funds,20000000
2021,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2021,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,0
2021,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",41628751
2021,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1270300692
2021,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",-5535036
2021,General Fund,Finance - Reg #32,Government Operations,Personal Services,2167137
2021,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",14153
2021,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",252578558
2021,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,31007
2021,General Fund,Fire,Emergency Services,Personal Services,318512653
2021,General Fund,Fire,Emergency Services,Purchase of Services,6718361
2021,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",9025793
2021,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",3712621
2021,General Fund,Fire,Emergency Services,Payments to Other Funds,6533000
2021,General Fund,First Judicial District,Courts & the Justice System,Personal Services,102667998
2021,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,9314949
2021,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2204368
2021,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",125000
2021,General Fund,Fleet Services,Government Operations,Personal Services,17982245
2021,General Fund,Fleet Services,Government Operations,Purchase of Services,5208357
2021,General Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",19196387
2021,General Fund,Fleet Services,Government Operations,"Contrib., Indemnities & Taxes",19642
2021,General Fund,Fleet Services - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",12862660
2021,General Fund,Free Library,Libraries,Personal Services,36056416
2021,General Fund,Free Library,Libraries,Purchase of Services,2218647
2021,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",1841601
2021,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2021,General Fund,Human Relations Commission,Government Operations,Personal Services,2267083
2021,General Fund,Human Relations Commission,Government Operations,Purchase of Services,11818
2021,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",6572
2021,General Fund,Human Services,Youth Services,Personal Services,28025714
2021,General Fund,Human Services,Youth Services,Purchase of Services,123364759
2021,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",1253847
2021,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",1567138
2021,General Fund,Labor,Government Operations,Personal Services,1991712
2021,General Fund,Labor,Government Operations,Purchase of Services,320420
2021,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",65619
2021,General Fund,Law,Government Operations,Personal Services,9640029
2021,General Fund,Law,Government Operations,Purchase of Services,6519856
2021,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",59879
2021,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",0
2021,General Fund,Licenses & Inspection,Government Operations,Personal Services,24779256
2021,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,12128927
2021,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",366827
2021,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",59854
2021,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,85061
2021,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,118576
2021,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2021,General Fund,Managing Director,Government Operations,Personal Services,28260583
2021,General Fund,Managing Director,Government Operations,Purchase of Services,30189087
2021,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",3107029
2021,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",1415877
2021,General Fund,Managing Director,Government Operations,Payments to Other Funds,0
2021,General Fund,Managing Director - Legal Services,Government Operations,Purchase of Services,50635963
2021,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Personal Services,458969
2021,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Purchase of Services,16369
2021,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,"Materials, Supplies & Equip.",225
2021,General Fund,Mayor's Office,Government Operations,Personal Services,5574446
2021,General Fund,Mayor's Office,Government Operations,Purchase of Services,828369
2021,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",6259
2021,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",71000
2021,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",196500
2021,General Fund,Mural Arts Program,Arts & Culture,Personal Services,577153
2021,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,1545610
