fiscal_year,fund,department,tag_peoples_budget,class,total
2018,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2018,General Fund,Atwater Kent Museum,Government Operations,Personal Services,251897
2018,General Fund,Atwater Kent Museum,Government Operations,Purchase of Services,0
2018,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",50000
2018,General Fund,Auditing (City Controller),Government Operations,Personal Services,8426765
2018,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2018,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2018,General Fund,Auditing (City Controller),Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Board of Ethics,Government Operations,Personal Services,985489
2018,General Fund,Board of Ethics,Government Operations,Purchase of Services,96000
2018,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",14000
2018,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,942999
2018,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,90200
2018,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15727
2018,General Fund,Board of Revision of Taxes,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,City Commissioners,Government Operations,Personal Services,5872200
2018,General Fund,City Commissioners,Government Operations,Purchase of Services,3497350
2018,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",541617
2018,General Fund,City Council,Government Operations,Personal Services,15207111
2018,General Fund,City Council,Government Operations,Purchase of Services,1971885
2018,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2018,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2018,General Fund,City Council,Government Operations,Payments to Other Funds,100
2018,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2018,General Fund,City Planning Commission,Government Operations,Personal Services,0
2018,General Fund,City Planning Commission,Government Operations,Purchase of Services,0
2018,General Fund,City Planning Commission,Government Operations,"Materials, Supplies & Equip.",0
2018,General Fund,City Representative,Government Operations,Personal Services,601690
2018,General Fund,City Representative,Government Operations,Purchase of Services,561730
2018,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2018,General Fund,City Treasurer,Government Operations,Personal Services,1062869
2018,General Fund,City Treasurer,Government Operations,Purchase of Services,118444
2018,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2018,General Fund,Civil Service Commission,Government Operations,Personal Services,166376
2018,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2018,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2018,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,20000000
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2340461
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,2800481
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2018,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2018,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,2794448
2018,General Fund,District Attorney,Courts & the Justice System,Personal Services,34686670
2018,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,2594296
2018,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",529521
2018,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2018,General Fund,Finance,Government Operations,Personal Services,7328177
2018,General Fund,Finance,Government Operations,Purchase of Services,3029912
2018,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2018,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4400000
2018,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,50893000
2018,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",30409207
2018,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1307799345
2018,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",25000
2018,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",44920000
2018,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2018,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",104348281
2018,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,171518
2018,General Fund,Fire,Emergency Services,Personal Services,225242832
2018,General Fund,Fire,Emergency Services,Purchase of Services,5789667
2018,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",8541535
2018,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2018,General Fund,Fire,Emergency Services,Payments to Other Funds,7972000
2018,General Fund,First Judicial District,Courts & the Justice System,Personal Services,99505601
2018,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,9545039
2018,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2391868
2018,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2018,General Fund,Fleet Management,Government Operations,Personal Services,18009259
2018,General Fund,Fleet Management,Government Operations,Purchase of Services,5104396
2018,General Fund,Fleet Management,Government Operations,"Materials, Supplies & Equip.",26463211
2018,General Fund,Fleet Management,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Fleet Management - Vehicle Lease/Purch.,Government Operations,Purchase of Services,4500000
2018,General Fund,Fleet Management - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",9465000
2018,General Fund,Free Library,Libraries,Personal Services,36310826
2018,General Fund,Free Library,Libraries,Purchase of Services,2324077
2018,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",2302659
2018,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2018,General Fund,Historical Commission,Government Operations,Personal Services,0
2018,General Fund,Historical Commission,Government Operations,Purchase of Services,0
2018,General Fund,Historical Commission,Government Operations,"Materials, Supplies & Equip.",0
2018,General Fund,Human Relations Commission,Government Operations,Personal Services,2141591
2018,General Fund,Human Relations Commission,Government Operations,Purchase of Services,34657
2018,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",28031
2018,General Fund,Human Services,Youth Services,Personal Services,30720570
2018,General Fund,Human Services,Youth Services,Purchase of Services,77424027
2018,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",890933
2018,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",0
2018,General Fund,Labor,Government Operations,Personal Services,1588459
2018,General Fund,Labor,Government Operations,Purchase of Services,17277
2018,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",11660
2018,General Fund,Law,Government Operations,Personal Services,8484481
2018,General Fund,Law,Government Operations,Purchase of Services,7010034
2018,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",248676
2018,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Licenses & Inspection,Government Operations,Personal Services,23019730
2018,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,11823061
2018,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",912475
2018,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,75419
2018,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,161349
2018,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2018,General Fund,L&I - Zoning Board of Adjustments,Government Operations,Personal Services,0
2018,General Fund,L&I - Zoning Board of Adjustments,Government Operations,Purchase of Services,0
2018,General Fund,Managing Director,Government Operations,Personal Services,20231006
2018,General Fund,Managing Director,Government Operations,Purchase of Services,19287351
2018,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",767479
2018,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Managing Director - Legal Services,Government Operations,Purchase of Services,48414381
2018,General Fund,Mayor's Office,Government Operations,Personal Services,3835550
2018,General Fund,Mayor's Office,Government Operations,Purchase of Services,743046
2018,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",55545
2018,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",200000
2018,General Fund,Mural Arts Program,Arts & Culture,Personal Services,548987
2018,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,1375615
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Personal Services,319878
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Purchase of Services,482400
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,"Materials, Supplies & Equip.",7000
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,"Contrib., Indemnities & Taxes",3370688
2018,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,1093064
2018,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,13125510
2018,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,4084873
2018,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,1652049
2018,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",16665
2018,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,230000
2018,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,1445000
2018,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Contrib., Indemnities & Taxes",0
2018,General Fund,Office of Community Schools & Pre - K,Government Operations,Personal Services,2679927
2018,General Fund,Office of Community Schools & Pre - K,Government Operations,Purchase of Services,39407000
2018,General Fund,Office of Community Schools & Pre - K,Government Operations,"Materials, Supplies & Equip.",364750
2018,General Fund,Office of Community Schools & Pre - K,Government Operations,"Contrib., Indemnities & Taxes",100000
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,8802194
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,39069215
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",344127
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",32421
2018,General Fund,Office of Housing and Community Development,Government Operations,Purchase of Services,0
2018,General Fund,Office of Housing and Community Development,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Office of Human Resources,Government Operations,Personal Services,4983106
2018,General Fund,Office of Human Resources,Government Operations,Purchase of Services,959070
2018,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",69432
2018,General Fund,Office of Innovation and Technology,Government Operations,Personal Services,21019003
2018,General Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,53127957
2018,General Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",9590548
2018,General Fund,Office of Innovation and Technology,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Office of the Inspector General,Government Operations,Personal Services,1444811
2018,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,197975
2018,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",5225
2018,General Fund,Office of Property Assessment,Government Operations,Personal Services,11313100
2018,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,1828126
2018,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",782600
2018,General Fund,Office of Sustainability,Government Operations,Personal Services,557790
2018,General Fund,Office of Sustainability,Government Operations,Purchase of Services,393508
2018,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",17840
2018,General Fund,Office of Transportation & Utilities,Government Operations,Personal Services,0
2018,General Fund,Office of Transportation & Utilities,Government Operations,Purchase of Services,0
2018,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,46948421
2018,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,9401490
2018,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",2735630
2018,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",2647500
2018,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,3899308
2018,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,3345113
2018,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",101461
2018,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",850000
2018,General Fund,Police,Police,Personal Services,631372338
2018,General Fund,Police,Police,Purchase of Services,7462807
2018,General Fund,Police,Police,"Materials, Supplies & Equip.",13270952
2018,General Fund,Police,Police,"Contrib., Indemnities & Taxes",0
2018,General Fund,Prisons,Courts & the Justice System,Personal Services,147427858
2018,General Fund,Prisons,Courts & the Justice System,Purchase of Services,105455001
2018,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",4773744
2018,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1301757
2018,General Fund,Procurement,Government Operations,Personal Services,2566732
2018,General Fund,Procurement,Government Operations,Purchase of Services,2316267
2018,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",49054
2018,General Fund,Procurement,Government Operations,"Contrib., Indemnities & Taxes",0
2018,General Fund,Public Health,Public Health Centers,Personal Services,54454436
2018,General Fund,Public Health,Public Health Centers,Purchase of Services,73897713
2018,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",7509918
2018,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",0
2018,General Fund,Public Health,Public Health Centers,Payments to Other Funds,500000
2018,General Fund,Public Property,Government Operations,Personal Services,8547886
2018,General Fund,Public Property,Government Operations,Purchase of Services,28008008
