fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2020,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,0,0,0,0,0,0,15895444,285482859,1300000000,0,0,0,0,0,0,1601378303
2020,Office of Community Empowerment and Opportunity,Immigration Services,0,0,0,0,0,0,90000,18655860,0,0,0,0,0,0,0,18745860
2020,Office of Education,Schools & Early Childhood Education,0,0,0,0,0,0,45350014,396860,0,0,0,0,0,0,0,45746874
2020,Office of Homeless Services,Housing & Homeless Services,0,0,0,0,0,0,59945719,0,0,0,0,0,0,0,0,59945719
2020,Office of Human Resources,Government Operations,0,0,0,0,0,0,6874287,0,0,0,0,0,0,0,0,6874287
2020,Office of Innovation and Technology,Government Operations,0,2998689,0,0,0,0,71198539,103697973,0,0,0,0,0,30850024,0,208745225
2020,Office of Innovation and Technology - 911,Government Operations,0,0,0,0,0,0,41235086,0,0,0,0,0,0,0,0,41235086
2020,Office of Property Assessment,Government Operations,0,0,0,0,0,0,17318408,0,0,0,0,0,0,0,0,17318408
2020,Office of Sustainability,Government Operations,0,0,0,0,0,0,1213258,90000,0,0,0,0,0,93874,0,1397132
2020,Office of Sustainability City of Philadelphia - 23 - City of Philadelphia,Government Operations,0,93873,0,0,0,0,0,0,0,0,0,0,0,0,0,93873
2020,Office of the Chief Administrative Officer,Government Operations,0,0,0,0,0,0,7438265,0,0,0,0,0,0,0,0,7438265
2020,Office of the Inspector General,Government Operations,0,0,0,0,0,0,1680441,0,0,0,0,0,0,0,0,1680441
2020,Parks and Recreation,Parks & Recreation,0,0,0,0,0,0,65058055,13552824,0,0,0,0,0,0,0,78610879
2020,Planning and Development,Housing & Homeless Services,0,0,0,0,68260861,0,11810746,61870058,0,0,68416000,0,0,0,0,210357665
2020,Police,Police,0,18031895,0,0,0,0,741165097,14439985,0,0,0,0,0,0,0,773636977
2020,Prisons,Courts & the Justice System,0,0,0,0,0,0,238183523,0,0,0,0,0,0,0,0,238183523
2020,Procurement,Government Operations,0,0,0,0,0,0,5674563,0,0,0,0,0,0,105285,0,5779848
2020,Public Health,Public Health Centers,319153408,0,0,0,0,0,160572140,167330965,0,0,0,0,0,0,0,647056513
2020,Public Property,Government Operations,0,0,0,0,0,0,68691597,0,0,0,0,0,0,0,0,68691597
2020,Public Property - SEPTA Subsidy,Government Operations,0,0,0,0,0,0,87556000,0,0,0,0,0,0,0,0,87556000
2020,Public Property - Space Rentals,Government Operations,0,0,0,0,0,0,26278677,0,0,0,0,0,0,0,0,26278677
2020,Public Property - Utilities,Government Operations,0,0,0,0,0,0,27393339,0,0,0,0,0,0,0,0,27393339
2020,Public Property-Utilities,Government Operations,0,26900000,0,0,0,0,0,0,0,0,0,0,0,0,0,26900000
2020,Records,Government Operations,0,0,0,0,0,0,4910278,0,0,0,0,0,0,0,0,4910278
2020,Register of Wills,Government Operations,0,0,0,0,0,0,4551645,200000,0,0,0,0,0,0,0,4751645
2020,Revenue,Government Operations,45000,0,0,0,0,0,32879233,26425000,0,0,0,0,0,17472616,0,76821849
2020,Sanitation,Trash & Sanitation,0,0,0,0,0,0,108692919,0,0,0,0,0,0,0,0,108692919
2020,Sanitation - Disposal,Government Operations,0,0,0,0,0,0,48340013,0,0,0,0,0,0,0,0,48340013
2020,Sheriff,Courts & the Justice System,0,0,0,0,0,0,27046961,0,0,0,0,0,0,0,0,27046961
2020,Sinking Fund Commission (Debt Service),Government Operations,0,134825501,0,7000000,0,0,296705317,0,0,0,0,11943000,0,218105830,0,668579648
2020,Streets,Streets,0,0,0,0,0,0,0,29681000,0,0,0,0,35940000,0,0,65621000
2020,Water,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,428420457,37000000,465420457
