fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
2020,Art Museum,Arts & Culture,0,0,0,0,0,0,2550000,0,0,0,0,0,0,0,0,2550000
2020,Atwater Kent Museum,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Auditing (City Controller),Government Operations,0,0,0,0,0,0,9384550,397297,0,0,0,0,0,0,0,9781847
2020,Board of Ethics,Government Operations,0,0,0,0,0,0,1101630,0,0,0,0,0,0,0,0,1101630
2020,Board of Revision of Taxes,Government Operations,0,0,0,0,0,0,1060791,0,0,0,0,0,0,0,0,1060791
2020,City Commissioners,Government Operations,0,0,0,0,0,0,12216911,2625000,0,0,0,0,0,0,0,14841911
2020,City Council,Government Operations,0,0,0,0,0,0,17927973,0,0,0,0,0,0,0,0,17927973
2020,City Council - Veterans Advisory Committee,Government Operations,0,0,0,0,0,0,0,205300,0,0,0,0,0,0,0,205300
2020,City Representative,Government Operations,0,0,0,0,0,0,1249695,0,0,0,0,0,0,0,0,1249695
2020,City Treasurer,Government Operations,0,0,0,0,0,0,1483167,0,0,0,0,0,0,0,0,1483167
2020,Civil Service Commission,Government Operations,0,0,0,0,0,0,204935,0,0,0,0,0,0,0,0,204935
2020,Commerce,Commercial Corridors & Small Businesses,0,199188000,0,0,11152625,0,9851361,10175000,0,0,0,0,0,0,0,230366986
2020,Commerce - Convention Center Subsidy,Government Operations,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,15000000
2020,Commerce - Economic Stimulus,Government Operations,0,0,0,0,0,0,7671624,0,0,0,0,0,0,0,0,7671624
2020,Department of Human Services - Office of Homeless Services City of Philadelphia - 19 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,45429240,0,0,0,0,0,0,0,45429240
2020,Department of Public Property City of Philadelphia - 13 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,4270347,0,4270347
2020,Department of Streets City of Philadelphia - 15 - City of Philadelphia,Government Operations,0,0,0,0,0,7273000,0,0,0,0,0,0,0,0,0,7273000
2020,Director of Commerce City of Philadelphia - 16 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,77562000,0,0,0,0,0,77562000
2020,District Attorney,Courts & the Justice System,0,0,0,0,0,0,38908536,15302606,0,0,0,0,0,0,0,54211142
2020,Finance,Government Operations,75000,4146000,0,0,20000000,0,100335334,220000939,0,0,0,0,0,0,0,344557273
2020,Finance - Budget Stabilization,Government Operations,0,0,0,0,0,0,34276000,0,0,0,0,0,0,0,0,34276000
2020,Finance - Community College Subsidy,Government Operations,0,0,0,0,0,0,33759207,0,0,0,0,0,0,0,0,33759207
2020,Finance - Employee Benefits,Government Operations,0,0,0,0,0,0,1411963002,0,0,0,0,0,0,0,0,1411963002
2020,Finance - Hero Scholarship Awards,Government Operations,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,25000
2020,Finance - Indemnities,Government Operations,0,0,0,0,0,0,49246000,0,0,0,0,0,0,0,0,49246000
2020,Finance - Refunds,Government Operations,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,250000
2020,Finance - Reg #32,Government Operations,0,0,0,0,0,0,2650000,0,0,0,0,0,0,0,0,2650000
2020,Finance - School District Contribution,Government Operations,0,0,0,0,0,0,222456410,0,0,0,0,0,0,0,0,222456410
2020,Finance - Witness Fees,Government Operations,0,0,0,0,0,0,171518,0,0,0,0,0,0,0,0,171518
2020,Finance-Budget Stabilization,Government Operations,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100
2020,Finance-Employee Benefits,Government Operations,267592,66061224,0,0,5042638,0,0,0,0,0,0,0,1000000,147439194,0,219810648
2020,Finance-Indemnities,Government Operations,0,2512000,0,0,0,0,0,0,0,0,0,0,0,7500000,0,10012000
2020,Fire,Emergency Services,0,9320474,0,0,0,0,298549278,26738515,0,0,0,0,0,0,0,334608267
2020,First Judicial District,Courts & the Justice System,0,0,0,0,0,0,115503975,52578870,0,0,0,0,0,0,0,168082845
2020,Fleet Management,Government Operations,0,0,0,0,0,0,50114034,0,0,0,0,0,0,0,0,50114034
2020,Fleet Management - Vehicle Lease/Purch.,Government Operations,0,0,0,0,0,0,17286549,0,0,0,0,0,0,0,0,17286549
2020,Free Library,Libraries,0,0,0,0,0,0,45760383,8208510,0,0,0,0,0,0,0,53968893
2020,Human Relations Commission,Government Operations,0,0,0,0,0,0,2386402,0,0,0,0,0,0,0,0,2386402
2020,Human Services,Youth Services,0,0,0,0,0,0,118965013,623013832,0,0,0,0,0,0,0,741978845
2020,L&I - Board of Building Standards,Government Operations,0,0,0,0,0,0,80366,0,0,0,0,0,0,0,0,80366
2020,L&I - Board of L&I Review,Government Operations,0,0,0,0,0,0,173870,0,0,0,0,0,0,0,0,173870
2020,Labor,Government Operations,0,0,0,0,0,0,2454828,0,0,0,0,0,0,0,0,2454828
2020,Law,Government Operations,0,1607235,0,0,195573,0,16085045,0,0,0,0,0,0,3304069,0,21191922
2020,Licenses & Inspection,Government Operations,0,0,0,0,490303,0,41282551,0,0,0,0,0,0,0,0,41772854
2020,Managing Director,Government Operations,0,0,0,0,0,0,55779720,10543322,0,0,0,0,0,138550,0,66461592
2020,Managing Director - Legal Services,Government Operations,0,0,0,0,0,0,50439541,0,0,0,0,0,0,0,0,50439541
2020,Managing Director - Office of Fleet Management,Government Operations,0,3601109,0,0,0,0,0,0,0,0,0,0,0,8846754,0,12447863
2020,Managing Director - Office of Fleet Management - Vehicle Purchase,Government Operations,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0,4800000
2020,Mayor,Government Operations,0,0,0,0,0,0,0,915185,0,0,0,0,0,0,0,915185
2020,Mayor's Office,Government Operations,0,0,0,0,0,0,6113633,0,0,0,0,0,0,0,0,6113633
2020,Mayor's Office - Scholarships,Government Operations,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,200000
2020,Mural Arts Program,Arts & Culture,0,0,0,0,0,0,2499602,0,0,0,0,0,0,0,0,2499602
2020,Office of Arts & Culture & the Creative Economy,Government Operations,0,0,0,0,0,0,4098002,0,0,0,0,0,0,0,0,4098002
