fiscal_year,fund,department,tag_peoples_budget,class,total
2022,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2022,General Fund,Auditing (City Controller),Government Operations,Personal Services,9523506
2022,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,469764
2022,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",11908
2022,General Fund,Board of Ethics,Government Operations,Personal Services,848155
2022,General Fund,Board of Ethics,Government Operations,Purchase of Services,10614
2022,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",0
2022,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,988226
2022,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,35454
2022,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17201
2022,General Fund,City Commissioners,Government Operations,Personal Services,7768164
2022,General Fund,City Commissioners,Government Operations,Purchase of Services,8526175
2022,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",4148309
2022,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",62500
2022,General Fund,City Council,Government Operations,Personal Services,14383873
2022,General Fund,City Council,Government Operations,Purchase of Services,2358592
2022,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",327495
2022,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,City Council,Government Operations,Payments to Other Funds,0
2022,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2022,General Fund,City Treasurer,Government Operations,Personal Services,1396762
2022,General Fund,City Treasurer,Government Operations,Purchase of Services,1209913
2022,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",10726
2022,General Fund,Civil Service Commission,Government Operations,Personal Services,141474
2022,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2022,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",0
2022,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2601371
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,10038704
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",20006
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2022,General Fund,Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,Purchase of Services,15000000
2022,General Fund,Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,Purchase of Services,5834550
2022,General Fund,District Attorney,Courts & the Justice System,Personal Services,39764411
2022,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3135890
2022,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",509537
2022,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",322500
2022,General Fund,Finance,Government Operations,Personal Services,9986109
2022,General Fund,Finance,Government Operations,Purchase of Services,3002622
2022,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",33162
2022,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",15716912
2022,General Fund,Finance,Government Operations,Payments to Other Funds,11207452
