fiscal_year,fund,department,class,total
FY2026 Estimated,General Fund,Office of Innovation and Technology,"Materials, Supplies & Equip.",11133602
FY2027 Proposed,General Fund,Office of Innovation and Technology,"Materials, Supplies & Equip.",12355834
FY2025 Actual,General Fund,Office of Innovation and Technology,"Contrib., Indemnities & Taxes",0
FY2026 Adopted,General Fund,Office of Innovation and Technology,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Office of Innovation and Technology,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Office of Innovation and Technology,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Office of Innovation and Technology,Payments to Other Funds,606451
FY2026 Adopted,General Fund,Office of Innovation and Technology,Payments to Other Funds,0
FY2026 Estimated,General Fund,Office of Innovation and Technology,Payments to Other Funds,0
FY2027 Proposed,General Fund,Office of Innovation and Technology,Payments to Other Funds,0
FY2025 Actual,General Fund,Office of Innovation and Technology-911,Personal Services,1704914
FY2026 Adopted,General Fund,Office of Innovation and Technology-911,Personal Services,1908732
FY2026 Estimated,General Fund,Office of Innovation and Technology-911,Personal Services,1908732
FY2027 Proposed,General Fund,Office of Innovation and Technology-911,Personal Services,1908732
FY2025 Actual,General Fund,Office of Innovation and Technology-911,Purchase of Services,15247205
FY2026 Adopted,General Fund,Office of Innovation and Technology-911,Purchase of Services,20716856
FY2026 Estimated,General Fund,Office of Innovation and Technology-911,Purchase of Services,20716856
FY2027 Proposed,General Fund,Office of Innovation and Technology-911,Purchase of Services,16637321
FY2025 Actual,General Fund,Office of Innovation and Technology-911,"Materials, Supplies & Equip.",6026130
FY2026 Adopted,General Fund,Office of Innovation and Technology-911,"Materials, Supplies & Equip.",18998646
FY2026 Estimated,General Fund,Office of Innovation and Technology-911,"Materials, Supplies & Equip.",18998646
FY2027 Proposed,General Fund,Office of Innovation and Technology-911,"Materials, Supplies & Equip.",8868174
FY2025 Actual,General Fund,Office of the Inspector General,Personal Services,1863732
FY2026 Adopted,General Fund,Office of the Inspector General,Personal Services,2534057
FY2026 Estimated,General Fund,Office of the Inspector General,Personal Services,2563502
FY2027 Proposed,General Fund,Office of the Inspector General,Personal Services,2573317
FY2025 Actual,General Fund,Office of the Inspector General,Purchase of Services,127327
FY2026 Adopted,General Fund,Office of the Inspector General,Purchase of Services,474695
FY2026 Estimated,General Fund,Office of the Inspector General,Purchase of Services,474695
FY2027 Proposed,General Fund,Office of the Inspector General,Purchase of Services,374695
FY2025 Actual,General Fund,Office of the Inspector General,"Materials, Supplies & Equip.",7873
FY2026 Adopted,General Fund,Office of the Inspector General,"Materials, Supplies & Equip.",8665
FY2026 Estimated,General Fund,Office of the Inspector General,"Materials, Supplies & Equip.",8665
FY2027 Proposed,General Fund,Office of the Inspector General,"Materials, Supplies & Equip.",8665
FY2025 Actual,General Fund,Office of Property Assessment,Personal Services,14623282
FY2026 Adopted,General Fund,Office of Property Assessment,Personal Services,16618749
FY2026 Estimated,General Fund,Office of Property Assessment,Personal Services,17276959
FY2027 Proposed,General Fund,Office of Property Assessment,Personal Services,17477200
FY2025 Actual,General Fund,Office of Property Assessment,Purchase of Services,1836194
FY2026 Adopted,General Fund,Office of Property Assessment,Purchase of Services,2986020
FY2026 Estimated,General Fund,Office of Property Assessment,Purchase of Services,2986020
FY2027 Proposed,General Fund,Office of Property Assessment,Purchase of Services,4086020
FY2025 Actual,General Fund,Office of Property Assessment,"Materials, Supplies & Equip.",300951
FY2026 Adopted,General Fund,Office of Property Assessment,"Materials, Supplies & Equip.",362600
FY2026 Estimated,General Fund,Office of Property Assessment,"Materials, Supplies & Equip.",362600
FY2027 Proposed,General Fund,Office of Property Assessment,"Materials, Supplies & Equip.",362600
FY2025 Actual,General Fund,Office of Public Safety,Personal Services,0
FY2026 Adopted,General Fund,Office of Public Safety,Personal Services,9305263
FY2026 Estimated,General Fund,Office of Public Safety,Personal Services,9425008
FY2027 Proposed,General Fund,Office of Public Safety,Personal Services,11670326
FY2025 Actual,General Fund,Office of Public Safety,Purchase of Services,0
FY2026 Adopted,General Fund,Office of Public Safety,Purchase of Services,57549103
FY2026 Estimated,General Fund,Office of Public Safety,Purchase of Services,57549103
FY2027 Proposed,General Fund,Office of Public Safety,Purchase of Services,52714064
FY2025 Actual,General Fund,Office of Public Safety,"Materials, Supplies & Equip.",0
FY2026 Adopted,General Fund,Office of Public Safety,"Materials, Supplies & Equip.",318880
FY2026 Estimated,General Fund,Office of Public Safety,"Materials, Supplies & Equip.",318880
FY2027 Proposed,General Fund,Office of Public Safety,"Materials, Supplies & Equip.",281380
FY2025 Actual,General Fund,Office of Public Safety- Office of Prison Oversight,Personal Services,0
FY2026 Adopted,General Fund,Office of Public Safety- Office of Prison Oversight,Personal Services,1021158
FY2026 Estimated,General Fund,Office of Public Safety- Office of Prison Oversight,Personal Services,1021158
FY2027 Proposed,General Fund,Office of Public Safety- Office of Prison Oversight,Personal Services,1052648
FY2025 Actual,General Fund,Office of Public Safety- Office of Prison Oversight,Purchase of Services,0
FY2026 Adopted,General Fund,Office of Public Safety- Office of Prison Oversight,Purchase of Services,349027
FY2026 Estimated,General Fund,Office of Public Safety- Office of Prison Oversight,Purchase of Services,349027
FY2027 Proposed,General Fund,Office of Public Safety- Office of Prison Oversight,Purchase of Services,349027
FY2025 Actual,General Fund,Office of Public Safety- Office of Prison Oversight,"Materials, Supplies & Equip.",0
FY2026 Adopted,General Fund,Office of Public Safety- Office of Prison Oversight,"Materials, Supplies & Equip.",27922
FY2026 Estimated,General Fund,Office of Public Safety- Office of Prison Oversight,"Materials, Supplies & Equip.",27922
FY2027 Proposed,General Fund,Office of Public Safety- Office of Prison Oversight,"Materials, Supplies & Equip.",27922
FY2025 Actual,General Fund,Office of Sustainability,Personal Services,1668099
FY2026 Adopted,General Fund,Office of Sustainability,Personal Services,2053333
FY2026 Estimated,General Fund,Office of Sustainability,Personal Services,2083258
FY2027 Proposed,General Fund,Office of Sustainability,Personal Services,2163233
FY2025 Actual,General Fund,Office of Sustainability,Purchase of Services,774766
FY2026 Adopted,General Fund,Office of Sustainability,Purchase of Services,1024484
FY2026 Estimated,General Fund,Office of Sustainability,Purchase of Services,1024484
FY2027 Proposed,General Fund,Office of Sustainability,Purchase of Services,927984
FY2025 Actual,General Fund,Office of Sustainability,"Materials, Supplies & Equip.",1000
FY2026 Adopted,General Fund,Office of Sustainability,"Materials, Supplies & Equip.",2500
FY2026 Estimated,General Fund,Office of Sustainability,"Materials, Supplies & Equip.",2500
FY2027 Proposed,General Fund,Office of Sustainability,"Materials, Supplies & Equip.",2500
FY2025 Actual,General Fund,Office of Sustainability,"Contrib., Indemnities & Taxes",0
FY2026 Adopted,General Fund,Office of Sustainability,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Office of Sustainability,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Office of Sustainability,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Office of Sustainability,Payments to Other Funds,175000
FY2026 Adopted,General Fund,Office of Sustainability,Payments to Other Funds,175000
FY2026 Estimated,General Fund,Office of Sustainability,Payments to Other Funds,175000
FY2027 Proposed,General Fund,Office of Sustainability,Payments to Other Funds,0
FY2025 Actual,General Fund,Parks and Recreation,Personal Services,65695796
FY2026 Adopted,General Fund,Parks and Recreation,Personal Services,67057180
FY2026 Estimated,General Fund,Parks and Recreation,Personal Services,69578312
FY2027 Proposed,General Fund,Parks and Recreation,Personal Services,72052757
FY2025 Actual,General Fund,Parks and Recreation,Purchase of Services,12810445
FY2026 Adopted,General Fund,Parks and Recreation,Purchase of Services,12053442
FY2026 Estimated,General Fund,Parks and Recreation,Purchase of Services,12053442
FY2027 Proposed,General Fund,Parks and Recreation,Purchase of Services,10983442
FY2025 Actual,General Fund,Parks and Recreation,"Materials, Supplies & Equip.",4671578
FY2026 Adopted,General Fund,Parks and Recreation,"Materials, Supplies & Equip.",4705038
FY2026 Estimated,General Fund,Parks and Recreation,"Materials, Supplies & Equip.",4705038
FY2027 Proposed,General Fund,Parks and Recreation,"Materials, Supplies & Equip.",4782248
FY2025 Actual,General Fund,Parks and Recreation,"Contrib., Indemnities & Taxes",4309944
FY2026 Adopted,General Fund,Parks and Recreation,"Contrib., Indemnities & Taxes",3500000
FY2026 Estimated,General Fund,Parks and Recreation,"Contrib., Indemnities & Taxes",3500000
FY2027 Proposed,General Fund,Parks and Recreation,"Contrib., Indemnities & Taxes",1500000
FY2025 Actual,General Fund,Parks and Recreation,Payments to Other Funds,4321865
FY2026 Adopted,General Fund,Parks and Recreation,Payments to Other Funds,0
FY2026 Estimated,General Fund,Parks and Recreation,Payments to Other Funds,0
FY2027 Proposed,General Fund,Parks and Recreation,Payments to Other Funds,0
FY2025 Actual,General Fund,Planning and Development,Personal Services,6480397
FY2026 Adopted,General Fund,Planning and Development,Personal Services,7680981
FY2026 Estimated,General Fund,Planning and Development,Personal Services,7913132
FY2027 Proposed,General Fund,Planning and Development,Personal Services,8924662
FY2025 Actual,General Fund,Planning and Development,Purchase of Services,5520104
FY2026 Adopted,General Fund,Planning and Development,Purchase of Services,12093786
FY2026 Estimated,General Fund,Planning and Development,Purchase of Services,12093786
FY2027 Proposed,General Fund,Planning and Development,Purchase of Services,15381344
FY2025 Actual,General Fund,Planning and Development,"Materials, Supplies & Equip.",113327
FY2026 Adopted,General Fund,Planning and Development,"Materials, Supplies & Equip.",630050
FY2026 Estimated,General Fund,Planning and Development,"Materials, Supplies & Equip.",630050
FY2027 Proposed,General Fund,Planning and Development,"Materials, Supplies & Equip.",131305
FY2025 Actual,General Fund,Planning and Development,"Contrib., Indemnities & Taxes",3000000
FY2026 Adopted,General Fund,Planning and Development,"Contrib., Indemnities & Taxes",7000000
FY2026 Estimated,General Fund,Planning and Development,"Contrib., Indemnities & Taxes",7000000
FY2027 Proposed,General Fund,Planning and Development,"Contrib., Indemnities & Taxes",6000000
FY2025 Actual,General Fund,Police,Personal Services,797554363
FY2026 Adopted,General Fund,Police,Personal Services,834940051
FY2026 Estimated,General Fund,Police,Personal Services,873281702
FY2027 Proposed,General Fund,Police,Personal Services,896422106
FY2025 Actual,General Fund,Police,Purchase of Services,19318390
FY2026 Adopted,General Fund,Police,Purchase of Services,20087223
FY2026 Estimated,General Fund,Police,Purchase of Services,20087223
FY2027 Proposed,General Fund,Police,Purchase of Services,21323109
FY2025 Actual,General Fund,Police,"Materials, Supplies & Equip.",17700895
FY2026 Adopted,General Fund,Police,"Materials, Supplies & Equip.",18467546
FY2026 Estimated,General Fund,Police,"Materials, Supplies & Equip.",18467546
FY2027 Proposed,General Fund,Police,"Materials, Supplies & Equip.",16650557
FY2025 Actual,General Fund,Police,"Contrib., Indemnities & Taxes",34900072
FY2026 Adopted,General Fund,Police,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Police,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Police,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Prisons,Personal Services,147763998
FY2026 Adopted,General Fund,Prisons,Personal Services,179402433
FY2026 Estimated,General Fund,Prisons,Personal Services,180144671
FY2027 Proposed,General Fund,Prisons,Personal Services,180619728
FY2025 Actual,General Fund,Prisons,Purchase of Services,116115652
FY2026 Adopted,General Fund,Prisons,Purchase of Services,122561746
FY2026 Estimated,General Fund,Prisons,Purchase of Services,122561746
FY2027 Proposed,General Fund,Prisons,Purchase of Services,124186746
FY2025 Actual,General Fund,Prisons,"Materials, Supplies & Equip.",5773663
FY2026 Adopted,General Fund,Prisons,"Materials, Supplies & Equip.",6580008
FY2026 Estimated,General Fund,Prisons,"Materials, Supplies & Equip.",6580008
FY2027 Proposed,General Fund,Prisons,"Materials, Supplies & Equip.",11180008
FY2025 Actual,General Fund,Prisons,"Contrib., Indemnities & Taxes",30904013
FY2026 Adopted,General Fund,Prisons,"Contrib., Indemnities & Taxes",1701757
FY2026 Estimated,General Fund,Prisons,"Contrib., Indemnities & Taxes",1701757
FY2027 Proposed,General Fund,Prisons,"Contrib., Indemnities & Taxes",1701757
FY2025 Actual,General Fund,Procurement,Personal Services,2735358
FY2026 Adopted,General Fund,Procurement,Personal Services,3293773
FY2026 Estimated,General Fund,Procurement,Personal Services,3323858
FY2027 Proposed,General Fund,Procurement,Personal Services,3452131
FY2025 Actual,General Fund,Procurement,Purchase of Services,4123426
FY2026 Adopted,General Fund,Procurement,Purchase of Services,3563948
FY2026 Estimated,General Fund,Procurement,Purchase of Services,5302164
FY2027 Proposed,General Fund,Procurement,Purchase of Services,4413948
FY2025 Actual,General Fund,Procurement,"Materials, Supplies & Equip.",14568
FY2026 Adopted,General Fund,Procurement,"Materials, Supplies & Equip.",46868
FY2026 Estimated,General Fund,Procurement,"Materials, Supplies & Equip.",46868
FY2027 Proposed,General Fund,Procurement,"Materials, Supplies & Equip.",46868
FY2025 Actual,General Fund,Public Health,Personal Services,72458296
FY2026 Adopted,General Fund,Public Health,Personal Services,72442924
FY2026 Estimated,General Fund,Public Health,Personal Services,75368162
FY2027 Proposed,General Fund,Public Health,Personal Services,80339658
FY2025 Actual,General Fund,Public Health,Purchase of Services,64283638
FY2026 Adopted,General Fund,Public Health,Purchase of Services,70717074
FY2026 Estimated,General Fund,Public Health,Purchase of Services,70717074
FY2027 Proposed,General Fund,Public Health,Purchase of Services,68798459
FY2025 Actual,General Fund,Public Health,"Materials, Supplies & Equip.",8618766
FY2026 Adopted,General Fund,Public Health,"Materials, Supplies & Equip.",8324326
FY2026 Estimated,General Fund,Public Health,"Materials, Supplies & Equip.",8324326
FY2027 Proposed,General Fund,Public Health,"Materials, Supplies & Equip.",8436655
FY2025 Actual,General Fund,Public Health,"Contrib., Indemnities & Taxes",4000012
FY2026 Adopted,General Fund,Public Health,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Public Health,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Public Health,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Public Health,Payments to Other Funds,7783959
FY2026 Adopted,General Fund,Public Health,Payments to Other Funds,10904680
FY2026 Estimated,General Fund,Public Health,Payments to Other Funds,10904680
FY2027 Proposed,General Fund,Public Health,Payments to Other Funds,923404
FY2025 Actual,General Fund,Public Property,Personal Services,8617062
FY2026 Adopted,General Fund,Public Property,Personal Services,9965810
FY2026 Estimated,General Fund,Public Property,Personal Services,10355751
FY2027 Proposed,General Fund,Public Property,Personal Services,10472281
FY2025 Actual,General Fund,Public Property,Purchase of Services,50004257
FY2026 Adopted,General Fund,Public Property,Purchase of Services,50398367
FY2026 Estimated,General Fund,Public Property,Purchase of Services,52493367
FY2027 Proposed,General Fund,Public Property,Purchase of Services,51276845
FY2025 Actual,General Fund,Public Property,"Materials, Supplies & Equip.",4077034
FY2026 Adopted,General Fund,Public Property,"Materials, Supplies & Equip.",1854966
FY2026 Estimated,General Fund,Public Property,"Materials, Supplies & Equip.",1854966
FY2027 Proposed,General Fund,Public Property,"Materials, Supplies & Equip.",1604966
FY2025 Actual,General Fund,Public Property,"Contrib., Indemnities & Taxes",194500
FY2026 Adopted,General Fund,Public Property,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Public Property,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Public Property,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Public Property,Payments to Other Funds,31414487
FY2026 Adopted,General Fund,Public Property,Payments to Other Funds,40015035
FY2026 Estimated,General Fund,Public Property,Payments to Other Funds,40015035
FY2027 Proposed,General Fund,Public Property,Payments to Other Funds,44085905
FY2025 Actual,General Fund,Public Property-SEPTA Subsidy,Purchase of Services,133291440
FY2026 Adopted,General Fund,Public Property-SEPTA Subsidy,Purchase of Services,134989000
FY2026 Estimated,General Fund,Public Property-SEPTA Subsidy,Purchase of Services,134989000
FY2027 Proposed,General Fund,Public Property-SEPTA Subsidy,Purchase of Services,134989000
FY2025 Actual,General Fund,Public Property-Space Rentals,Purchase of Services,39570856
FY2026 Adopted,General Fund,Public Property-Space Rentals,Purchase of Services,57736320
FY2026 Estimated,General Fund,Public Property-Space Rentals,Purchase of Services,51418637
FY2027 Proposed,General Fund,Public Property-Space Rentals,Purchase of Services,63130838
FY2025 Actual,General Fund,Public Property-Utilities,Purchase of Services,27148234
FY2026 Adopted,General Fund,Public Property-Utilities,Purchase of Services,33578003
FY2026 Estimated,General Fund,Public Property-Utilities,Purchase of Services,33578003
FY2027 Proposed,General Fund,Public Property-Utilities,Purchase of Services,35959093
FY2025 Actual,General Fund,Records,Personal Services,3620164
FY2026 Adopted,General Fund,Records,Personal Services,3793693
FY2026 Estimated,General Fund,Records,Personal Services,3992231
FY2027 Proposed,General Fund,Records,Personal Services,4035760
FY2025 Actual,General Fund,Records,Purchase of Services,748500
FY2026 Adopted,General Fund,Records,Purchase of Services,809122
FY2026 Estimated,General Fund,Records,Purchase of Services,809122
FY2027 Proposed,General Fund,Records,Purchase of Services,704122
FY2025 Actual,General Fund,Records,"Materials, Supplies & Equip.",141207
FY2026 Adopted,General Fund,Records,"Materials, Supplies & Equip.",143758
FY2026 Estimated,General Fund,Records,"Materials, Supplies & Equip.",143758
FY2027 Proposed,General Fund,Records,"Materials, Supplies & Equip.",143758
FY2025 Actual,General Fund,Register of Wills,Personal Services,5036216
FY2026 Adopted,General Fund,Register of Wills,Personal Services,5393539
FY2026 Estimated,General Fund,Register of Wills,Personal Services,5439571
FY2027 Proposed,General Fund,Register of Wills,Personal Services,5454916
FY2025 Actual,General Fund,Register of Wills,Purchase of Services,421257
FY2026 Adopted,General Fund,Register of Wills,Purchase of Services,671959
FY2026 Estimated,General Fund,Register of Wills,Purchase of Services,671959
FY2027 Proposed,General Fund,Register of Wills,Purchase of Services,421959
FY2025 Actual,General Fund,Register of Wills,"Materials, Supplies & Equip.",151781
FY2026 Adopted,General Fund,Register of Wills,"Materials, Supplies & Equip.",152596
FY2026 Estimated,General Fund,Register of Wills,"Materials, Supplies & Equip.",152596
FY2027 Proposed,General Fund,Register of Wills,"Materials, Supplies & Equip.",152596
FY2025 Actual,General Fund,Register of Wills,"Contrib., Indemnities & Taxes",275000
FY2026 Adopted,General Fund,Register of Wills,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Register of Wills,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Register of Wills,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Revenue,Personal Services,24127629
FY2026 Adopted,General Fund,Revenue,Personal Services,23679845
FY2026 Estimated,General Fund,Revenue,Personal Services,24093067
FY2027 Proposed,General Fund,Revenue,Personal Services,25083695
FY2025 Actual,General Fund,Revenue,Purchase of Services,5947686
FY2026 Adopted,General Fund,Revenue,Purchase of Services,5064649
FY2026 Estimated,General Fund,Revenue,Purchase of Services,5714649
FY2027 Proposed,General Fund,Revenue,Purchase of Services,6627649
FY2025 Actual,General Fund,Revenue,"Materials, Supplies & Equip.",1852659
FY2026 Adopted,General Fund,Revenue,"Materials, Supplies & Equip.",2069045
FY2026 Estimated,General Fund,Revenue,"Materials, Supplies & Equip.",2069045
FY2027 Proposed,General Fund,Revenue,"Materials, Supplies & Equip.",1290545
FY2025 Actual,General Fund,Sanitation-Disposal,Purchase of Services,60566484
FY2026 Adopted,General Fund,Sanitation-Disposal,Purchase of Services,63238164
FY2026 Estimated,General Fund,Sanitation-Disposal,Purchase of Services,63238164
FY2027 Proposed,General Fund,Sanitation-Disposal,Purchase of Services,65275823
FY2025 Actual,General Fund,Sanitation,Personal Services,100316451
FY2026 Adopted,General Fund,Sanitation,Personal Services,107134671
FY2026 Estimated,General Fund,Sanitation,Personal Services,113186109
FY2027 Proposed,General Fund,Sanitation,Personal Services,115837640
FY2025 Actual,General Fund,Sanitation,Purchase of Services,6122064
FY2026 Adopted,General Fund,Sanitation,Purchase of Services,3821616
FY2026 Estimated,General Fund,Sanitation,Purchase of Services,3821616
FY2027 Proposed,General Fund,Sanitation,Purchase of Services,3834816
FY2025 Actual,General Fund,Sanitation,"Materials, Supplies & Equip.",7235636
FY2026 Adopted,General Fund,Sanitation,"Materials, Supplies & Equip.",5766632
FY2026 Estimated,General Fund,Sanitation,"Materials, Supplies & Equip.",5766632
FY2027 Proposed,General Fund,Sanitation,"Materials, Supplies & Equip.",5039632
FY2025 Actual,General Fund,Sanitation,"Contrib., Indemnities & Taxes",8414710
FY2026 Adopted,General Fund,Sanitation,"Contrib., Indemnities & Taxes",53171
FY2026 Estimated,General Fund,Sanitation,"Contrib., Indemnities & Taxes",53171
FY2027 Proposed,General Fund,Sanitation,"Contrib., Indemnities & Taxes",53171
FY2025 Actual,General Fund,Sheriff,Personal Services,32003728
FY2026 Adopted,General Fund,Sheriff,Personal Services,31550600
FY2026 Estimated,General Fund,Sheriff,Personal Services,31695912
FY2027 Proposed,General Fund,Sheriff,Personal Services,31723477
FY2025 Actual,General Fund,Sheriff,Purchase of Services,2932641
FY2026 Adopted,General Fund,Sheriff,Purchase of Services,2647080
FY2026 Estimated,General Fund,Sheriff,Purchase of Services,2647080
FY2027 Proposed,General Fund,Sheriff,Purchase of Services,2647080
FY2025 Actual,General Fund,Sheriff,"Materials, Supplies & Equip.",451887
FY2026 Adopted,General Fund,Sheriff,"Materials, Supplies & Equip.",1287133
FY2026 Estimated,General Fund,Sheriff,"Materials, Supplies & Equip.",1287133
FY2027 Proposed,General Fund,Sheriff,"Materials, Supplies & Equip.",1287133
FY2025 Actual,General Fund,Sheriff,"Contrib., Indemnities & Taxes",343355
FY2026 Adopted,General Fund,Sheriff,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,Sheriff,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,Sheriff,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,117667281
FY2026 Adopted,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,173276984
FY2026 Estimated,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,139806984
FY2027 Proposed,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,189668861
FY2025 Actual,General Fund,Sinking Fund Commission (Debt Service),Debt Service,195090263
FY2026 Adopted,General Fund,Sinking Fund Commission (Debt Service),Debt Service,231495486
FY2026 Estimated,General Fund,Sinking Fund Commission (Debt Service),Debt Service,222495486
FY2027 Proposed,General Fund,Sinking Fund Commission (Debt Service),Debt Service,241195016
