fiscal_year,fund,department,tag_peoples_budget,class,total
2020,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2020,General Fund,Atwater Kent Museum,Government Operations,Personal Services,0
2020,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,Auditing (City Controller),Government Operations,Personal Services,8862100
2020,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2020,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2020,General Fund,Board of Ethics,Government Operations,Personal Services,1041630
2020,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2020,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2020,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,962864
2020,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,75200
2020,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",22727
2020,General Fund,City Commissioners,Government Operations,Personal Services,6633233
2020,General Fund,City Commissioners,Government Operations,Purchase of Services,5011061
2020,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",572617
2020,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,City Council,Government Operations,Personal Services,15427138
2020,General Fund,City Council,Government Operations,Purchase of Services,1971885
2020,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2020,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2020,General Fund,City Council,Government Operations,Payments to Other Funds,100
2020,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2020,General Fund,City Representative,Government Operations,Personal Services,795916
2020,General Fund,City Representative,Government Operations,Purchase of Services,399779
2020,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2020,General Fund,City Treasurer,Government Operations,Personal Services,1262499
2020,General Fund,City Treasurer,Government Operations,Purchase of Services,198444
2020,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2020,General Fund,Civil Service Commission,Government Operations,Personal Services,174341
2020,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2020,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2020,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3469881
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,5854826
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2020,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2020,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,7671624
2020,General Fund,District Attorney,Courts & the Justice System,Personal Services,35016343
2020,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3367172
2020,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",525021
2020,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2020,General Fund,Finance,Government Operations,Personal Services,9084313
2020,General Fund,Finance,Government Operations,Purchase of Services,3029912
2020,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2020,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4725000
2020,General Fund,Finance,Government Operations,Payments to Other Funds,28285000
2020,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,55108000
2020,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,34276000
2020,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",33759207
2020,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1411963002
2020,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",25000
2020,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",49246000
2020,General Fund,Finance - Reg #32,Government Operations,Personal Services,2650000
2020,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2020,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",222456410
2020,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,171518
2020,General Fund,Fire,Emergency Services,Personal Services,273966292
2020,General Fund,Fire,Emergency Services,Purchase of Services,6516272
2020,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",8831714
2020,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2020,General Fund,Fire,Emergency Services,Payments to Other Funds,9235000
2020,General Fund,First Judicial District,Courts & the Justice System,Personal Services,104792068
2020,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,8480039
2020,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2231868
2020,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2020,General Fund,Fleet Management,Government Operations,Personal Services,19416871
2020,General Fund,Fleet Management,Government Operations,Purchase of Services,5305396
2020,General Fund,Fleet Management,Government Operations,"Materials, Supplies & Equip.",25391767
2020,General Fund,Fleet Management,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,Fleet Management - Vehicle Lease/Purch.,Government Operations,Purchase of Services,0
