department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
Office of Arts and Culture and the Creative Economy,Arts & Culture,0,0,0,0,0,0,6571003,2500000,0,0,0,0,0,0,0,0,9071003
Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,0,0,0,0,0,0,32504390,316405823,1524327000,0,0,0,0,0,0,0,1873237213
Office of Community Empowerment and Opportunity,Immigration Services,0,0,0,0,0,0,7399460,40459793,0,0,0,0,0,0,0,0,47859253
Office of Education,Schools & Early Childhood Education,0,0,0,0,0,0,9894385,3260459,0,0,0,0,0,0,0,0,13154844
Office of Homeless Services,Housing & Homeless Services,0,0,0,0,0,0,85343840,51028448,0,20029000,0,0,0,0,0,0,156401288
Office of Human Resources,Government Operations,0,0,0,0,0,0,22966434,0,0,0,0,0,0,0,0,0,22966434
Office of Innovation and Technology,Government Operations,0,6318223,0,0,0,0,131257651,49809281,0,0,0,0,0,0,46534776,0,233919931
Office of Innovation and Technology-911,Emergency Services,0,0,0,0,0,0,27414227,0,0,0,0,0,0,0,0,0,27414227
Office of Property Assessment,Government Operations,0,0,0,0,0,0,21925820,0,0,0,0,0,0,0,0,0,21925820
Office of Public Safety,Courts & the Justice System,0,0,0,0,0,0,64665770,10167676,0,0,0,0,0,0,0,0,74833446
Office of Public Safety- Office of Prison Oversight,Courts & the Justice System,0,0,0,0,0,0,1429597,0,0,0,0,0,0,0,0,0,1429597
Office of Sustainability,Government Operations,0,110873,0,0,0,0,3093717,3100000,0,0,0,0,0,0,182874,0,6487464
Office of the Chief Administrative Officer,Government Operations,0,0,0,0,0,0,13599931,0,0,0,0,0,0,0,0,0,13599931
Office of the Inspector General,Government Operations,0,0,0,0,0,0,2956677,0,0,0,0,0,0,0,0,0,2956677
Parks and Recreation,Parks & Recreation,0,0,0,0,0,0,89318447,15041013,0,0,0,0,0,0,0,0,104359460
Planning and Development,Housing & Homeless Services,0,0,0,0,55889380,0,30437311,145179188,0,0,66457014,0,0,0,0,0,297962893
Police,Police,0,22237655,0,0,0,0,934395772,40606839,0,0,0,0,0,0,0,0,997240266
Prisons,Courts & the Justice System,0,0,0,0,0,0,317688239,0,0,0,0,0,0,0,0,0,317688239
Procurement,Government Operations,0,0,0,0,0,0,7912947,0,0,0,0,0,0,0,104004,0,8016951
Public Health,Public Health Centers,286783499,0,0,0,0,0,158498176,222831238,0,0,0,0,0,0,0,0,668112913
Public Property,Government Operations,0,0,0,0,0,0,107439997,0,0,0,0,0,0,0,5494744,0,112934741
