fiscal_year,fund,department,tag_peoples_budget,class,total
2020,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2020,General Fund,Atwater Kent Museum,Government Operations,Personal Services,0
2020,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,Auditing (City Controller),Government Operations,Personal Services,9522372
2020,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2020,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2020,General Fund,Board of Ethics,Government Operations,Personal Services,1044071
2020,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2020,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2020,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,997459
2020,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,42900
2020,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",22727
2020,General Fund,City Commissioners,Government Operations,Personal Services,6690419
2020,General Fund,City Commissioners,Government Operations,Purchase of Services,5011061
2020,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",572617
2020,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,City Council,Government Operations,Personal Services,15627138
2020,General Fund,City Council,Government Operations,Purchase of Services,2446885
2020,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",603650
2020,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2020,General Fund,City Council,Government Operations,Payments to Other Funds,100
2020,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2020,General Fund,City Representative,Government Operations,Personal Services,830942
2020,General Fund,City Representative,Government Operations,Purchase of Services,399779
2020,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2020,General Fund,City Treasurer,Government Operations,Personal Services,1295117
2020,General Fund,City Treasurer,Government Operations,Purchase of Services,198444
2020,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2020,General Fund,Civil Service Commission,Government Operations,Personal Services,174742
2020,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2020,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2020,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3506080
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,6254826
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2020,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2020,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2020,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,7671624
2020,General Fund,District Attorney,Courts & the Justice System,Personal Services,37620523
2020,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3867172
2020,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",675021
2020,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2020,General Fund,Finance,Government Operations,Personal Services,9266821
2020,General Fund,Finance,Government Operations,Purchase of Services,3284912
2020,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2020,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4975000
2020,General Fund,Finance,Government Operations,Payments to Other Funds,33285000
2020,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,18403000
2020,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,34276000
2020,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",36059207
2020,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1348375045
2020,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",25000
2020,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",49246000
2020,General Fund,Finance - Reg #32,Government Operations,Personal Services,2650000
2020,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2020,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",222456410
2020,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,171518
2020,General Fund,Fire,Emergency Services,Personal Services,289014272
2020,General Fund,Fire,Emergency Services,Purchase of Services,6725272
2020,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",10081714
2020,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2020,General Fund,Fire,Emergency Services,Payments to Other Funds,9235000
2020,General Fund,First Judicial District,Courts & the Justice System,Personal Services,105610726
2020,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,8480039
2020,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2231868
2020,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2020,General Fund,Fleet Management,Government Operations,Personal Services,19599366
2020,General Fund,Fleet Management,Government Operations,Purchase of Services,5305396
2020,General Fund,Fleet Management,Government Operations,"Materials, Supplies & Equip.",25391767
2020,General Fund,Fleet Management,Government Operations,"Contrib., Indemnities & Taxes",0
2020,General Fund,Fleet Management - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",17286549
2020,General Fund,Free Library,Libraries,Personal Services,41140877
