fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,transportation_fund,water_fund,water_residual_fund,total
2024,Art Museum,Arts & Culture,0,0,0,0,0,0,2142000,0,0,0,0,0,0,0,0,0,0,2142000
2024,Auditing (City Controller),Government Operations,0,0,0,0,0,0,11148245,500000,0,0,0,0,0,0,0,0,0,11648245
2024,Aviation,Government Operations,0,242600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242600000
2024,Board of Ethics,Government Operations,0,0,0,0,0,0,1382433,0,0,0,0,0,0,0,0,0,0,1382433
2024,Board of Revision of Taxes,Government Operations,0,0,0,0,0,0,1192431,0,0,0,0,0,0,0,0,0,0,1192431
2024,City Commissioners,Government Operations,0,0,0,0,0,0,29117650,8165695,0,0,0,0,0,0,0,0,0,37283345
2024,City Council,Government Operations,0,0,0,0,0,0,19751418,0,0,0,0,0,0,0,0,0,0,19751418
2024,City Council - Veterans Advisory Committee,Government Operations,0,0,0,0,0,0,0,205300,0,0,0,0,0,0,0,0,0,205300
2024,City Treasurer,Government Operations,0,0,0,0,0,0,5114652,0,0,0,0,0,0,0,0,2650000,0,7764652
2024,Civil Service Commission,Government Operations,0,0,0,0,0,0,13573651,0,0,0,0,0,0,0,0,0,0,13573651
2024,Commerce,Commercial Corridors & Small Businesses,0,0,0,0,20222287,0,18545558,12000000,0,81000000,0,0,0,0,0,0,0,131767845
2024,Commerce - Convention Center Subsidy,Government Operations,0,0,0,0,0,0,15000000,0,0,0,0,0,0,0,0,0,0,15000000
2024,Commerce - Economic Stimulus,Government Operations,0,0,0,0,0,0,16334550,0,0,0,0,0,0,0,0,0,0,16334550
2024,Department of Licenses and Inspections City of Philadelphia - 26 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000
2024,Department of Planning and Development City of Philadelphia - 23 - City of Philadelphia,Government Operations,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,25000
2024,Department of Public Health City of Philadelphia - 25 - City of Philadelphia,Government Operations,5550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5550000
2024,District Attorney,Courts & the Justice System,0,0,0,0,0,0,51119070,44085000,0,0,0,0,0,0,0,0,0,95204070
2024,Finance,Government Operations,75000,4800000,0,0,20000000,0,137213622,1390820042,0,0,0,0,0,0,0,0,0,1552908664
2024,Finance - Budget Stabilization,Government Operations,0,0,0,0,0,0,42261000,0,0,0,0,0,0,0,0,0,0,42261000
2024,Finance - Community College Subsidy,Government Operations,0,0,0,0,0,0,51003181,0,0,0,0,0,0,0,0,0,0,51003181
2024,Finance - Employee Benefits,Government Operations,0,0,0,0,0,0,1660996026,0,0,0,0,0,0,0,0,0,0,1660996026
2024,Finance - Hero Scholarship Awards,Government Operations,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,50000
2024,Finance - Indemnities,Government Operations,0,0,0,0,0,0,49246000,0,0,0,0,0,0,0,0,0,0,49246000
2024,Finance - Refunds,Government Operations,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,250000
2024,Finance - Reg #32,Government Operations,0,0,0,0,0,0,5200000,0,0,0,0,0,0,0,0,0,0,5200000
2024,Finance - School District Contribution,Government Operations,0,0,0,0,0,0,282052590,0,0,0,0,0,0,0,0,0,0,282052590
2024,Finance - Witness Fees,Government Operations,0,0,0,0,0,0,180094,0,0,0,0,0,0,0,0,0,0,180094
2024,Finance-Budget Stabilization,Government Operations,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2024,Finance-Employee Benefits,Government Operations,285841,58105696,0,0,5855309,0,0,0,0,0,0,0,0,1000000,25013578,148176371,0,238436795
2024,Finance-Indemnities,Government Operations,0,2512000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,8512000
2024,Fire,Emergency Services,0,10385119,0,0,0,0,400794784,27269479,0,0,0,0,0,0,0,0,0,438449382
2024,First Judicial District,Courts & the Justice System,0,0,0,0,0,0,129052430,55156736,0,0,0,0,0,0,0,0,0,184209166
2024,Fleet Services,Government Operations,0,3405631,0,0,0,0,55253706,0,0,0,0,0,0,0,0,9237357,0,67896694
2024,Fleet Services - Vehicle Lease/Purch.,Government Operations,0,0,0,0,0,0,15359245,0,0,0,0,0,0,0,0,0,0,15359245
2024,Fleet Services -Vehicle Lease/Purch.,Government Operations,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
2024,Free Library,Libraries,0,0,0,0,0,0,70934523,14128154,0,0,0,0,0,0,0,0,0,85062677
2024,Human Relations Commission,Government Operations,0,0,0,0,0,0,2756401,0,0,0,0,0,0,0,0,0,0,2756401
2024,Human Services,Youth Services,0,0,0,0,0,0,219709887,699153068,0,0,0,0,0,0,0,0,0,918862955
