fiscal_year,department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,transportation_fund,water_fund,water_residual_fund,total
2024,L&I - Board of Building Standards,Government Operations,0,0,0,0,0,0,86609,0,0,0,0,0,0,0,0,0,0,86609
2024,L&I - Board of L&I Review,Government Operations,0,0,0,0,0,0,182543,0,0,0,0,0,0,0,0,0,0,182543
2024,Labor,Government Operations,0,0,0,0,0,0,4768554,0,0,0,0,0,0,0,0,0,0,4768554
2024,Law,Government Operations,0,1652749,0,0,195573,0,28854870,0,0,0,0,0,0,0,0,0,0,30703192
2024,Law Department City of Philadelphia - 14 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215719,0,4215719
2024,Licenses & Inspection,Government Operations,0,0,0,0,490303,0,44257829,0,0,0,0,0,0,0,0,0,0,44748132
2024,Managing Director,Government Operations,0,0,0,0,0,0,187205603,35472217,0,0,0,0,0,0,0,138550,0,222816370
2024,Managing Director - Citizens Police Oversight Commission,Government Operations,0,0,0,0,0,0,3023642,0,0,0,0,0,0,0,0,0,0,3023642
2024,Managing Director - Defenders Association,Government Operations,0,0,0,0,0,0,61997780,0,0,0,0,0,0,0,0,0,0,61997780
2024,Mayor's Office,Government Operations,0,0,0,0,0,0,6067744,0,0,0,0,0,0,0,0,0,0,6067744
2024,Mayor's Office - Scholarships,Government Operations,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,100000
2024,Mural Arts Program,Arts & Culture,0,0,0,0,0,0,3683320,0,0,0,0,0,0,0,0,0,0,3683320
2024,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,0,0,0,0,0,0,29024448,314599200,1440220000,0,0,0,0,0,0,0,0,1783843648
2024,Office of Children and Families,Government Operations,0,0,0,0,0,0,481098,0,0,0,0,0,0,0,0,0,0,481098
2024,Office of Community Empowerment and Opportunity,Immigration Services,0,0,0,0,0,0,3449909,33279437,0,0,0,0,0,0,0,0,0,36729346
2024,Office of Homeless Services,Housing & Homeless Services,0,0,0,0,0,0,80556703,49056919,0,0,0,0,0,0,0,0,0,129613622
2024,Office of Human Resources,Government Operations,0,0,0,0,0,0,12710756,0,0,0,0,0,0,0,0,0,0,12710756
2024,Office of Innovation and Technology,Government Operations,0,3262808,0,0,0,0,96415805,52246291,0,0,0,0,0,0,0,40125907,0,192050811
2024,Office of Innovation and Technology - 911,Government Operations,0,0,0,0,0,0,31855521,0,0,0,0,0,0,0,0,0,0,31855521
2024,Office of Property Assessment,Government Operations,0,0,0,0,0,0,18310182,0,0,0,0,0,0,0,0,0,0,18310182
2024,Office of Sustainability,Government Operations,0,110873,0,0,0,0,2974885,2635000,0,0,0,0,0,0,0,182874,0,5903632
2024,Office of the Chief Administrative Officer,Government Operations,0,0,0,0,0,0,18420959,0,0,0,0,0,0,0,0,0,0,18420959
2024,Office of the Inspector General,Government Operations,0,0,0,0,0,0,2346548,0,0,0,0,0,0,0,0,0,0,2346548
2024,Parks and Recreation,Parks & Recreation,0,0,0,0,0,0,79418097,13194088,0,0,0,0,0,0,0,0,0,92612185
2024,Planning and Development,Housing & Homeless Services,0,0,0,0,229030528,0,35404422,112171433,0,0,102954000,0,0,0,0,0,0,479560383
2024,Police,Police,0,19150584,0,0,0,0,855831761,0,0,0,0,0,0,0,0,0,0,874982345
2024,Police Department City of Philadelphia - 17 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,40130820,0,0,0,0,0,0,0,0,0,40130820
2024,Prisons,Courts & the Justice System,0,0,0,0,0,0,292774430,0,0,0,0,0,0,0,0,0,0,292774430
2024,Procurement,Government Operations,0,0,0,0,0,0,7235722,0,0,0,0,0,0,0,0,126961,0,7362683
2024,Public Health,Public Health Centers,250186159,0,0,0,0,0,148736320,498368740,0,0,0,0,0,0,0,0,0,897291219
2024,Public Property,Government Operations,0,0,0,0,0,0,95659168,0,0,0,0,0,0,0,0,5494744,0,101153912
2024,Public Property - SEPTA Subsidy,Government Operations,0,0,0,0,0,0,109567000,0,0,0,0,0,0,0,0,0,0,109567000
2024,Public Property - Space Rentals,Government Operations,0,0,0,0,0,0,37448243,0,0,0,0,0,0,0,0,0,0,37448243
2024,Public Property - Utilities,Government Operations,0,0,0,0,0,0,31162103,0,0,0,0,0,0,0,0,0,0,31162103
2024,Public Property-Utilities,Government Operations,0,17400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17400000
2024,Records,Government Operations,0,0,0,0,0,0,4564421,0,0,0,0,0,0,0,0,0,0,4564421
2024,Register of Wills,Government Operations,0,0,0,0,0,0,5024798,200000,0,0,0,0,0,0,0,0,0,5224798
2024,Revenue,Government Operations,45000,0,0,0,0,0,28854507,19650000,0,0,0,0,0,0,0,18030838,0,66580345
2024,Sanitation,Trash & Sanitation,0,0,0,0,0,0,107960310,0,0,0,0,0,0,0,0,0,0,107960310
2024,Sanitation - Disposal,Government Operations,0,0,0,0,0,0,55178274,0,0,0,0,0,0,0,0,0,0,55178274
2024,Sheriff,Courts & the Justice System,0,0,0,0,0,0,32866448,0,0,0,0,0,0,0,0,0,0,32866448
2024,Sinking Fund Commission (Debt Service),Government Operations,0,168997540,0,7000000,0,0,324217521,0,0,0,8720000,14477000,0,0,0,209771743,0,733183804
2024,Streets,Streets,0,0,0,0,0,10873000,0,75246381,0,0,0,0,0,39900000,74070422,0,0,200089803
2024,Water,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465445936,32994000,498439936
2024,Water Department City of Philadelphia - 13 - City of Philadelphia,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71500000,0,71500000
