fiscal_year,fund,department,tag_peoples_budget,class,total
2019,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2019,General Fund,Atwater Kent Museum,Government Operations,Personal Services,0
2019,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",250000
2019,General Fund,Auditing (City Controller),Government Operations,Personal Services,8370558
2019,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2019,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2019,General Fund,Auditing (City Controller),Government Operations,"Contrib., Indemnities & Taxes",0
2019,General Fund,Board of Ethics,Government Operations,Personal Services,964792
2019,General Fund,Board of Ethics,Government Operations,Purchase of Services,96000
2019,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",14000
2019,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,945976
2019,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,85200
2019,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15727
2019,General Fund,Board of Revision of Taxes,Government Operations,"Contrib., Indemnities & Taxes",0
2019,General Fund,City Commissioners,Government Operations,Personal Services,5926203
2019,General Fund,City Commissioners,Government Operations,Purchase of Services,3884061
2019,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",541617
2019,General Fund,City Council,Government Operations,Personal Services,14824858
2019,General Fund,City Council,Government Operations,Purchase of Services,1921885
2019,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",478650
2019,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2019,General Fund,City Council,Government Operations,Payments to Other Funds,100
2019,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2019,General Fund,City Planning Commission,Government Operations,Personal Services,0
2019,General Fund,City Planning Commission,Government Operations,Purchase of Services,0
2019,General Fund,City Planning Commission,Government Operations,"Materials, Supplies & Equip.",0
2019,General Fund,City Representative,Government Operations,Personal Services,704470
2019,General Fund,City Representative,Government Operations,Purchase of Services,399779
2019,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",54000
2019,General Fund,City Treasurer,Government Operations,Personal Services,1046647
2019,General Fund,City Treasurer,Government Operations,Purchase of Services,623444
2019,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2019,General Fund,Civil Service Commission,Government Operations,Personal Services,167462
2019,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2019,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2019,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,16447372
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2120079
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,3366925
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2019,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2019,General Fund,Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,Purchase of Services,15000000
2019,General Fund,Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,Purchase of Services,2397004
2019,General Fund,District Attorney,Courts & the Justice System,Personal Services,37168476
2019,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,4094296
2019,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",529521
2019,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2019,General Fund,Finance,Government Operations,Personal Services,7765535
2019,General Fund,Finance,Government Operations,Purchase of Services,3029912
2019,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",103109
2019,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4525000
2019,General Fund,Finance,Government Operations,Payments to Other Funds,8366704
2019,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,54573000
