fiscal_year,fund,department,tag_peoples_budget,class,total
2019,General Fund,Office of Innovation and Technology - 911,Government Operations,"Materials, Supplies & Equip.",1488301
2019,General Fund,Office of the Inspector General,Government Operations,Personal Services,1415627
2019,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,93079
2019,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",5147
2019,General Fund,Office of Property Assessment,Government Operations,Personal Services,12500926
2019,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,991148
2019,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",442723
2019,General Fund,Office of Sustainability,Government Operations,Personal Services,548133
2019,General Fund,Office of Sustainability,Government Operations,Purchase of Services,390326
2019,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",17219
2019,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,0
2019,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,48579951
2019,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,9632966
2019,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",2745309
2019,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",4636049
2019,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,1550000
2019,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,4695950
2019,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,3740958
2019,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",54003
2019,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",3990780
2019,General Fund,Police,Police,Personal Services,685445815
2019,General Fund,Police,Police,Purchase of Services,7710091
2019,General Fund,Police,Police,"Materials, Supplies & Equip.",13494447
2019,General Fund,Police,Police,"Contrib., Indemnities & Taxes",21254586
2019,General Fund,Prisons,Courts & the Justice System,Personal Services,138537912
2019,General Fund,Prisons,Courts & the Justice System,Purchase of Services,92504851
2019,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",4331144
2019,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1668749
2019,General Fund,Procurement,Government Operations,Personal Services,2402513
2019,General Fund,Procurement,Government Operations,Purchase of Services,2605252
2019,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",18118
2019,General Fund,Public Health,Public Health Centers,Personal Services,57173653
2019,General Fund,Public Health,Public Health Centers,Purchase of Services,72930947
2019,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",7382017
