fiscal_year,fund,department,tag_peoples_budget,class,total
2016,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2620000
2016,General Fund,Atwater Kent Museum,Government Operations,Personal Services,223470
2016,General Fund,Atwater Kent Museum,Government Operations,Purchase of Services,0
2016,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",50000
2016,General Fund,Auditing (City Controller),Government Operations,Personal Services,7994175
2016,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,392741
2016,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",24955
2016,General Fund,Auditing (City Controller),Government Operations,"Contrib., Indemnities & Taxes",0
2016,General Fund,Board of Ethics,Government Operations,Personal Services,862716
2016,General Fund,Board of Ethics,Government Operations,Purchase of Services,50982
2016,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",11009
2016,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,890697
2016,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,18953
2016,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",14075
2016,General Fund,Board of Revision of Taxes,Government Operations,"Contrib., Indemnities & Taxes",71499
2016,General Fund,City Commissioners,Government Operations,Personal Services,5514242
2016,General Fund,City Commissioners,Government Operations,Purchase of Services,3864760
2016,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",716470
2016,General Fund,City Council,Government Operations,Personal Services,12842195
2016,General Fund,City Council,Government Operations,Purchase of Services,1626341
2016,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",452964
2016,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",591000
2016,General Fund,City Council,Government Operations,Payments to Other Funds,0
2016,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2016,General Fund,City Planning Commission,Government Operations,Personal Services,2211557
2016,General Fund,City Planning Commission,Government Operations,Purchase of Services,139357
2016,General Fund,City Planning Commission,Government Operations,"Materials, Supplies & Equip.",39872
2016,General Fund,City Representative,Government Operations,Personal Services,453196
2016,General Fund,City Representative,Government Operations,Purchase of Services,561726
2016,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",53922
2016,General Fund,City Treasurer,Government Operations,Personal Services,985689
2016,General Fund,City Treasurer,Government Operations,Purchase of Services,107442
2016,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",21825
2016,General Fund,Civil Service Commission,Government Operations,Personal Services,150173
2016,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2016,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",300
2016,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2016,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2351610
2016,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,1780385
2016,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",36603
2016,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2016,General Fund,Commerce-Convention Center Subsidy,Commercial Corridors & Small Businesses,Purchase of Services,15000000
2016,General Fund,Commerce-Economic Stimulus,Commercial Corridors & Small Businesses,Purchase of Services,3294448
2016,General Fund,District Attorney,Courts & the Justice System,Personal Services,32810833
2016,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,2391233
2016,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",491150
2016,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",5000
2016,General Fund,Finance,Government Operations,Personal Services,10819419
2016,General Fund,Finance,Government Operations,Purchase of Services,4115309
2016,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",104341
2016,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",7601919
2016,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2016,General Fund,Finance-Community College Subsidy,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",30309207
2016,General Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1181264999
2016,General Fund,Finance-Hero Scholarship Awards,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",18000
2016,General Fund,Finance-Indemnities,Government Operations,"Contrib., Indemnities & Taxes",0
2016,General Fund,Finance-Refunds,Government Operations,"Contrib., Indemnities & Taxes",0
2016,General Fund,Finance-School District Contribution,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",104184673
2016,General Fund,Finance-Witness Fees,Government Operations,Purchase of Services,118808
2016,General Fund,Fire,Emergency Services,Personal Services,219101252
2016,General Fund,Fire,Emergency Services,Purchase of Services,6615496
2016,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",9690432
2016,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",2672473
2016,General Fund,Fire,Emergency Services,Payments to Other Funds,8162000
2016,General Fund,First Judicial District,Courts & the Justice System,Personal Services,97017514
2016,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,17650649
2016,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2391505
2016,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",827023
2016,General Fund,Fleet Management,Government Operations,Personal Services,17275918
2016,General Fund,Fleet Management,Government Operations,Purchase of Services,5150508
2016,General Fund,Fleet Management,Government Operations,"Materials, Supplies & Equip.",22000170
2016,General Fund,Fleet Management,Government Operations,"Contrib., Indemnities & Taxes",28006
2016,General Fund,Fleet Management -Vehicle Lease/Purch.,Government Operations,Purchase of Services,4483192
2016,General Fund,Fleet Management -Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",12814792
2016,General Fund,Free Library,Libraries,Personal Services,34808182
2016,General Fund,Free Library,Libraries,Purchase of Services,2315621
2016,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",2275393
2016,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",365230
2016,General Fund,Historical Commission,Government Operations,Personal Services,341606
2016,General Fund,Historical Commission,Government Operations,Purchase of Services,887
2016,General Fund,Historical Commission,Government Operations,"Materials, Supplies & Equip.",786
2016,General Fund,Human Relations Commission,Government Operations,Personal Services,1837948
2016,General Fund,Human Relations Commission,Government Operations,Purchase of Services,41700
2016,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",22106
2016,General Fund,Human Services,Youth Services,Personal Services,21714429
2016,General Fund,Human Services,Youth Services,Purchase of Services,75253378
2016,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",937302
2016,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",203232
2016,General Fund,Labor,Government Operations,Personal Services,496053
2016,General Fund,Labor,Government Operations,Purchase of Services,5248
2016,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",8133
2016,General Fund,Law,Government Operations,Personal Services,7405269
2016,General Fund,Law,Government Operations,Purchase of Services,6628250
2016,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",226030
2016,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",313651
2016,General Fund,Licenses & Inspection,Government Operations,Personal Services,18606512
2016,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,10401930
2016,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",1437228
2016,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",160615
2016,General Fund,L&I-Board of Building Standards,Government Operations,Personal Services,67890
2016,General Fund,L&I-Board of L&I Review,Government Operations,Personal Services,139762
2016,General Fund,L&I-Board of L&I Review,Government Operations,Purchase of Services,10436
2016,General Fund,L&I-Zoning Board of Adjustments,Government Operations,Personal Services,326821
2016,General Fund,L&I-Zoning Board of Adjustments,Government Operations,Purchase of Services,34541
2016,General Fund,Managing Director,Government Operations,Personal Services,17601829
2016,General Fund,Managing Director,Government Operations,Purchase of Services,19040574
2016,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",610965
2016,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",205
2016,General Fund,Managing Director-Legal Services,Government Operations,Purchase of Services,44695131
2016,General Fund,Mayor's Office,Government Operations,Personal Services,3960415
2016,General Fund,Mayor's Office,Government Operations,Purchase of Services,950822
2016,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",33284
2016,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",382076
2016,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",200000
2016,General Fund,Mural Arts Program,Arts & Culture,Personal Services,495213
2016,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,1155615
2016,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Personal Services,308789
2016,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Purchase of Services,467620
