fiscal_year,fund,department,tag_peoples_budget,class,total
2017,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550000
2017,General Fund,Atwater Kent Museum,Government Operations,Personal Services,248440
2017,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",50000
2017,General Fund,Auditing (City Controller),Government Operations,Personal Services,8055899
2017,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,396681
2017,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",24738
2017,General Fund,Auditing (City Controller),Government Operations,"Contrib., Indemnities & Taxes",0
2017,General Fund,Board of Ethics,Government Operations,Personal Services,920605
2017,General Fund,Board of Ethics,Government Operations,Purchase of Services,22089
2017,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",8049
2017,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,898026
2017,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,111593
2017,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15146
2017,General Fund,Board of Revision of Taxes,Government Operations,"Contrib., Indemnities & Taxes",0
2017,General Fund,City Commissioners,Government Operations,Personal Services,5960120
2017,General Fund,City Commissioners,Government Operations,Purchase of Services,4235156
2017,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",788616
2017,General Fund,City Council,Government Operations,Personal Services,13295341
2017,General Fund,City Council,Government Operations,Purchase of Services,1729341
2017,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",452719
2017,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",127114
2017,General Fund,City Council,Government Operations,Payments to Other Funds,0
2017,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2017,General Fund,City Planning Commission,Government Operations,Personal Services,2351776
2017,General Fund,City Planning Commission,Government Operations,Purchase of Services,122213
2017,General Fund,City Planning Commission,Government Operations,"Materials, Supplies & Equip.",40434
2017,General Fund,City Representative,Government Operations,Personal Services,505031
2017,General Fund,City Representative,Government Operations,Purchase of Services,338647
2017,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",15066
2017,General Fund,City Treasurer,Government Operations,Personal Services,979945
2017,General Fund,City Treasurer,Government Operations,Purchase of Services,98140
2017,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",14478
2017,General Fund,Civil Service Commission,Government Operations,Personal Services,161212
2017,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2017,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",200
2017,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2017,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2393155
2017,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,2187231
