fiscal_year,fund,department,tag_peoples_budget,class,total
2018,General Fund,Finance - Reg #32,Government Operations,Personal Services,2556892
2018,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",10202
2018,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",104348281
2018,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,86141
2018,General Fund,Fire,Emergency Services,Personal Services,244026657
2018,General Fund,Fire,Emergency Services,Purchase of Services,6737647
2018,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",9306254
2018,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",626727
2018,General Fund,Fire,Emergency Services,Payments to Other Funds,7866000
2018,General Fund,First Judicial District,Courts & the Justice System,Personal Services,98343914
2018,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,13443049
2018,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2384963
2018,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2018,General Fund,Fleet Management,Government Operations,Personal Services,17532835
2018,General Fund,Fleet Management,Government Operations,Purchase of Services,5094239
2018,General Fund,Fleet Management,Government Operations,"Materials, Supplies & Equip.",22440314
2018,General Fund,Fleet Management,Government Operations,"Contrib., Indemnities & Taxes",15616
2018,General Fund,Fleet Management - Vehicle Lease/Purch.,Government Operations,Purchase of Services,4493243
2018,General Fund,Fleet Management - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",14847574
2018,General Fund,Free Library,Libraries,Personal Services,36929841
2018,General Fund,Free Library,Libraries,Purchase of Services,2155734
2018,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",2301398
2018,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",407756
2018,General Fund,Human Relations Commission,Government Operations,Personal Services,2033062
2018,General Fund,Human Relations Commission,Government Operations,Purchase of Services,34598
2018,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",11971
2018,General Fund,Human Services,Youth Services,Personal Services,30712077
2018,General Fund,Human Services,Youth Services,Purchase of Services,76253919
2018,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",1644282
2018,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",12604
2018,General Fund,Labor,Government Operations,Personal Services,1425750
2018,General Fund,Labor,Government Operations,Purchase of Services,9488
2018,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",10263
2018,General Fund,Law,Government Operations,Personal Services,7978352
2018,General Fund,Law,Government Operations,Purchase of Services,6598386
2018,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",223774
2018,General Fund,Licenses & Inspection,Government Operations,Personal Services,22292655
2018,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,11560986
2018,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",1362475
2018,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",184263
2018,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,67339
2018,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,143207
2018,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,9928
2018,General Fund,Managing Director,Government Operations,Personal Services,20292249
2018,General Fund,Managing Director,Government Operations,Purchase of Services,22118399
2018,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",845743
2018,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",6699
2018,General Fund,Managing Director - Legal Services,Government Operations,Purchase of Services,48824041
2018,General Fund,Mayor's Office,Government Operations,Personal Services,3487719
2018,General Fund,Mayor's Office,Government Operations,Purchase of Services,590976
2018,General Fund,Mayor's Office,Government Operations,"Materials, Supplies & Equip.",17765
2018,General Fund,Mayor's Office,Government Operations,"Contrib., Indemnities & Taxes",1500
2018,General Fund,Mayor's Office - Scholarships,Government Operations,"Contrib., Indemnities & Taxes",170500
2018,General Fund,Mural Arts Program,Arts & Culture,Personal Services,545525
2018,General Fund,Mural Arts Program,Arts & Culture,Purchase of Services,1375615
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Personal Services,274563
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,Purchase of Services,482053
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,"Materials, Supplies & Equip.",5606
2018,General Fund,Office of Arts & Culture & the Creative Economy,Government Operations,"Contrib., Indemnities & Taxes",3370688
2018,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,1558164
2018,General Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,13125510
2018,General Fund,Office of the Chief Administrative Officer,Government Operations,Personal Services,4045694
2018,General Fund,Office of the Chief Administrative Officer,Government Operations,Purchase of Services,1795910
2018,General Fund,Office of the Chief Administrative Officer,Government Operations,"Materials, Supplies & Equip.",52426
2018,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,233263
2018,General Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,1913500
2018,General Fund,Office of Education,Schools & Early Childhood Education,Personal Services,2215607
2018,General Fund,Office of Education,Schools & Early Childhood Education,Purchase of Services,20742176
2018,General Fund,Office of Education,Schools & Early Childhood Education,"Materials, Supplies & Equip.",15348
2018,General Fund,Office of Education,Schools & Early Childhood Education,"Contrib., Indemnities & Taxes",99998
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,8685048
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,39045924
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,"Materials, Supplies & Equip.",253494
2018,General Fund,Office of Homeless Services,Housing & Homeless Services,"Contrib., Indemnities & Taxes",32370
2018,General Fund,Office of Human Resources,Government Operations,Personal Services,4766878
2018,General Fund,Office of Human Resources,Government Operations,Purchase of Services,809279
2018,General Fund,Office of Human Resources,Government Operations,"Materials, Supplies & Equip.",50280
2018,General Fund,Office of Innovation and Technology,Government Operations,Personal Services,19828255
2018,General Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,36828582
2018,General Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",4866231
2018,General Fund,Office of Innovation and Technology,Government Operations,"Contrib., Indemnities & Taxes",75000
2018,General Fund,Office of Innovation and Technology - 911,Government Operations,Personal Services,1024555
2018,General Fund,Office of Innovation and Technology - 911,Government Operations,Purchase of Services,12117369
2018,General Fund,Office of Innovation and Technology - 911,Government Operations,"Materials, Supplies & Equip.",1606213
2018,General Fund,Office of the Inspector General,Government Operations,Personal Services,1409169
2018,General Fund,Office of the Inspector General,Government Operations,Purchase of Services,72881
2018,General Fund,Office of the Inspector General,Government Operations,"Materials, Supplies & Equip.",5209
2018,General Fund,Office of Property Assessment,Government Operations,Personal Services,11852174
2018,General Fund,Office of Property Assessment,Government Operations,Purchase of Services,1234519
2018,General Fund,Office of Property Assessment,Government Operations,"Materials, Supplies & Equip.",348065
2018,General Fund,Office of Sustainability,Government Operations,Personal Services,498576
2018,General Fund,Office of Sustainability,Government Operations,Purchase of Services,393120
2018,General Fund,Office of Sustainability,Government Operations,"Materials, Supplies & Equip.",16802
2018,General Fund,Office of Sustainability,Government Operations,Payments to Other Funds,0
2018,General Fund,Parks and Recreation,Parks & Recreation,Personal Services,47030321
2018,General Fund,Parks and Recreation,Parks & Recreation,Purchase of Services,9400752
2018,General Fund,Parks and Recreation,Parks & Recreation,"Materials, Supplies & Equip.",2623116
2018,General Fund,Parks and Recreation,Parks & Recreation,"Contrib., Indemnities & Taxes",5011875
2018,General Fund,Parks and Recreation,Parks & Recreation,Payments to Other Funds,0
2018,General Fund,Planning and Development,Housing & Homeless Services,Personal Services,3894669
2018,General Fund,Planning and Development,Housing & Homeless Services,Purchase of Services,3341058
2018,General Fund,Planning and Development,Housing & Homeless Services,"Materials, Supplies & Equip.",90768
2018,General Fund,Planning and Development,Housing & Homeless Services,"Contrib., Indemnities & Taxes",890000
2018,General Fund,Police,Police,Personal Services,670260752
2018,General Fund,Police,Police,Purchase of Services,7427351
2018,General Fund,Police,Police,"Materials, Supplies & Equip.",13176270
2018,General Fund,Police,Police,"Contrib., Indemnities & Taxes",21880475
2018,General Fund,Prisons,Courts & the Justice System,Personal Services,149461785
2018,General Fund,Prisons,Courts & the Justice System,Purchase of Services,102219139
2018,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",4768862
2018,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",2518610
2018,General Fund,Procurement,Government Operations,Personal Services,2450043
2018,General Fund,Procurement,Government Operations,Purchase of Services,2297951
2018,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",41515
2018,General Fund,Public Health,Public Health Centers,Personal Services,54999157
2018,General Fund,Public Health,Public Health Centers,Purchase of Services,72749713
2018,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",6951556
2018,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",37422
2018,General Fund,Public Health,Public Health Centers,Payments to Other Funds,500000
2018,General Fund,Public Property,Government Operations,Personal Services,8797024
2018,General Fund,Public Property,Government Operations,Purchase of Services,29355183
2018,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1183997
2018,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",612127
2018,General Fund,Public Property,Government Operations,Payments to Other Funds,23128747
2018,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,81946000
2018,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,21553679
2018,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,24580646
2018,General Fund,Records,Government Operations,Personal Services,3004442
2018,General Fund,Records,Government Operations,Purchase of Services,1280220
2018,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",143620
2018,General Fund,Records,Government Operations,"Contrib., Indemnities & Taxes",1450
2018,General Fund,Register of Wills,Government Operations,Personal Services,4021761
2018,General Fund,Register of Wills,Government Operations,Purchase of Services,75196
2018,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",29905
2018,General Fund,Revenue,Government Operations,Personal Services,21536327
2018,General Fund,Revenue,Government Operations,Purchase of Services,7104902
2018,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",663662
2018,General Fund,Revenue,Government Operations,"Contrib., Indemnities & Taxes",3250
2018,General Fund,Sheriff,Courts & the Justice System,Personal Services,27179518
2018,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,717773
2018,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",432285
2018,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",102700
2018,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,116708317
2018,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,148795403
2018,General Fund,Sanitation - Disposal,Government Operations,Purchase of Services,40077018
2018,General Fund,Sanitation,Trash & Sanitation,Personal Services,79636511
2018,General Fund,Sanitation,Trash & Sanitation,Purchase of Services,9149367
2018,General Fund,Sanitation,Trash & Sanitation,"Materials, Supplies & Equip.",7714288
2018,General Fund,Sanitation,Trash & Sanitation,"Contrib., Indemnities & Taxes",15973463
