fiscal_year,fund,department,tag_peoples_budget,class,total
2018,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2550500
2018,General Fund,Atwater Kent Museum,Government Operations,Personal Services,256771
2018,General Fund,Atwater Kent Museum,Government Operations,"Contrib., Indemnities & Taxes",50000
2018,General Fund,Auditing (City Controller),Government Operations,Personal Services,8324348
2018,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,418276
2018,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",19630
2018,General Fund,Board of Ethics,Government Operations,Personal Services,942040
2018,General Fund,Board of Ethics,Government Operations,Purchase of Services,27850
2018,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",4454
2018,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,904051
2018,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,33238
2018,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",15242
2018,General Fund,City Commissioners,Government Operations,Personal Services,5524532
2018,General Fund,City Commissioners,Government Operations,Purchase of Services,3790884
2018,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",541610
2018,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",267500
2018,General Fund,City Council,Government Operations,Personal Services,13909585
2018,General Fund,City Council,Government Operations,Purchase of Services,2094604
2018,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",522619
2018,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",432268
2018,General Fund,City Council,Government Operations,Payments to Other Funds,0
2018,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,0
2018,General Fund,City Representative,Government Operations,Personal Services,631584
2018,General Fund,City Representative,Government Operations,Purchase of Services,461959
2018,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",23294
2018,General Fund,City Treasurer,Government Operations,Personal Services,1064446
2018,General Fund,City Treasurer,Government Operations,Purchase of Services,100862
2018,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",12166
2018,General Fund,Civil Service Commission,Government Operations,Personal Services,163743
2018,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2018,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",220
2018,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,0
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,2114325
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,2950549
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",16568
2018,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2018,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2018,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,2854448
2018,General Fund,District Attorney,Courts & the Justice System,Personal Services,32249281
2018,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,2523902
2018,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",522017
2018,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",225000
2018,General Fund,Finance,Government Operations,Personal Services,6963917
2018,General Fund,Finance,Government Operations,Purchase of Services,2855622
2018,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",77135
2018,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",4366897
2018,General Fund,Finance,Government Operations,Payments to Other Funds,30000000
2018,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,0
2018,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,0
2018,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",30409207
2018,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1314021386
2018,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",2000
2018,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",0
